timestamp;date_GMT;status;attendance;home_team_name;away_team_name;referee;Game Week;Pre-Match PPG (Home);Pre-Match PPG (Away);home_ppg;away_ppg;home_team_goal_count;away_team_goal_count;total_goal_count;total_goals_at_half_time;home_team_goal_count_half_time;away_team_goal_count_half_time;home_team_goal_timings;away_team_goal_timings;home_team_corner_count;away_team_corner_count;home_team_yellow_cards;home_team_red_cards;away_team_yellow_cards;away_team_red_cards;home_team_first_half_cards;home_team_second_half_cards;away_team_first_half_cards;away_team_second_half_cards;home_team_shots;away_team_shots;home_team_shots_on_target;away_team_shots_on_target;home_team_shots_off_target;away_team_shots_off_target;home_team_fouls;away_team_fouls;home_team_possession;away_team_possession;Home Team Pre-Match xG;Away Team Pre-Match xG;team_a_xg;team_b_xg;average_goals_per_match_pre_match;btts_percentage_pre_match;over_15_percentage_pre_match;over_25_percentage_pre_match;over_35_percentage_pre_match;over_45_percentage_pre_match;over_15_HT_FHG_percentage_pre_match;over_05_HT_FHG_percentage_pre_match;over_15_2HG_percentage_pre_match;over_05_2HG_percentage_pre_match;average_corners_per_match_pre_match;average_cards_per_match_pre_match;odds_ft_home_team_win;odds_ft_draw;odds_ft_away_team_win;odds_ft_over15;odds_ft_over25;odds_ft_over35;odds_ft_over45;odds_btts_yes;odds_btts_no;stadium_name
1249552800;Aug 06 2009 - 10:00am;complete;N/A;Melbourne Victory FC;Central Coast Mariners;N/A;N/A;0.00;0.00;1.81;1.00;0;2;2;2;0;2;;10,15;-1;-1;2;0;6;0;1;1;2;4;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Marvel Stadium (Melbourne)
1249639200;Aug 07 2009 - 10:00am;complete;N/A;Adelaide United;Perth Glory FC;N/A;N/A;0.00;0.00;1.21;0.80;1;0;1;1;1;0;30;;-1;-1;2;0;3;0;0;2;2;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Coopers Stadium (Adelaide)
1249716600;Aug 08 2009 - 7:30am;complete;N/A;Northern Fury FC;Sydney FC;Strebre Delovski;N/A;0.00;0.00;1.62;1.07;2;3;5;3;1;2;41,6;4,28,73;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1300SMILES Stadium (Townsville)
1249723800;Aug 08 2009 - 9:30am;complete;N/A;Brisbane Roar;Gold Coast United FC;Peter Green;N/A;0.00;0.00;1.21;1.15;1;3;4;1;0;1;89;17,59,90;-1;-1;5;0;5;0;4;1;0;5;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Suncorp Stadium (Brisbane)
1249794000;Aug 09 2009 - 5:00am;complete;N/A;Newcastle Jets FC;Wellington Phoenix;Chris Beath;N/A;0.00;0.00;1.62;0.93;3;2;5;4;2;2;12,23,84;26,43;-1;-1;2;0;2;0;1;1;0;2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;McDonald Jones Stadium (Newcastle)
1250244000;Aug 14 2009 - 10:00am;complete;N/A;Central Coast Mariners;Newcastle Jets FC;N/A;N/A;0.00;0.00;1.23;0.88;1;1;2;0;0;0;50;47;-1;-1;3;0;3;0;2;1;1;2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Central Coast Stadium (Gosford)
1250321400;Aug 15 2009 - 7:30am;complete;N/A;Gold Coast United FC;Northern Fury FC;Chris Beath;N/A;0.00;0.00;2.00;0.79;5;0;5;1;1;0;30,55,63,64,80;;-1;-1;1;0;5;0;0;1;0;5;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Cbus Super Stadium (Gold Coast)
1250328600;Aug 15 2009 - 9:30am;complete;N/A;Melbourne Victory FC;Brisbane Roar;Strebre Delovski;N/A;0.00;0.00;1.81;1.00;3;3;6;4;1;3;33,63,70;22,24,37;-1;-1;1;0;2;0;1;0;1;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0.00;0.00;0.00;0.00;1.00;0;50;0;0;0;50;50;0;0;0.00;2.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Marvel Stadium (Melbourne)
1250398800;Aug 16 2009 - 5:00am;complete;N/A;Wellington Phoenix;Perth Glory FC;Peter O'Leary;N/A;0.00;0.00;2.00;0.80;2;1;3;2;1;1;24,84;4;-1;-1;2;0;2;0;2;0;0;2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0.00;0.00;0.00;0.00;0.50;0;0;0;0;0;0;50;0;0;0.00;3.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Sky Stadium (Wellington)
1250406000;Aug 16 2009 - 7:00am;complete;N/A;Sydney FC;Adelaide United;N/A;N/A;0.00;0.00;2.31;0.92;1;0;1;0;0;0;77;;-1;-1;4;0;1;0;2;2;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Allianz Stadium (Sydney)
