timestamp;date_GMT;status;attendance;home_team_name;away_team_name;referee;Game Week;Pre-Match PPG (Home);Pre-Match PPG (Away);home_ppg;away_ppg;home_team_goal_count;away_team_goal_count;total_goal_count;total_goals_at_half_time;home_team_goal_count_half_time;away_team_goal_count_half_time;home_team_goal_timings;away_team_goal_timings;home_team_corner_count;away_team_corner_count;home_team_yellow_cards;home_team_red_cards;away_team_yellow_cards;away_team_red_cards;home_team_first_half_cards;home_team_second_half_cards;away_team_first_half_cards;away_team_second_half_cards;home_team_shots;away_team_shots;home_team_shots_on_target;away_team_shots_on_target;home_team_shots_off_target;away_team_shots_off_target;home_team_fouls;away_team_fouls;home_team_possession;away_team_possession;Home Team Pre-Match xG;Away Team Pre-Match xG;team_a_xg;team_b_xg;average_goals_per_match_pre_match;btts_percentage_pre_match;over_15_percentage_pre_match;over_25_percentage_pre_match;over_35_percentage_pre_match;over_45_percentage_pre_match;over_15_HT_FHG_percentage_pre_match;over_05_HT_FHG_percentage_pre_match;over_15_2HG_percentage_pre_match;over_05_2HG_percentage_pre_match;average_corners_per_match_pre_match;average_cards_per_match_pre_match;odds_ft_home_team_win;odds_ft_draw;odds_ft_away_team_win;odds_ft_over15;odds_ft_over25;odds_ft_over35;odds_ft_over45;odds_btts_yes;odds_btts_no;stadium_name
1374330600;Jul 20 2013 - 2:30pm;complete;8016;Austria Wien;Admira;N/A;1;0.00;0.00;1.61;0.67;2;0;2;0;0;0;78,90'3;;6;7;2;0;5;0;0;2;1;4;12;12;6;5;6;7;9;17;53;47;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;1.36;5.15;9.65;0.00;0.00;0.00;0.00;0.00;0.00;Generali Arena (Wien)
1374339600;Jul 20 2013 - 5:00pm;complete;2840;Grödig;Ried;N/A;1;0.00;0.00;1.44;0.94;0;0;0;0;0;0;;;6;11;8;0;5;0;5;3;2;3;7;15;3;9;4;6;20;24;49;51;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;2.70;3.42;2.73;0.00;0.00;0.00;0.00;0.00;0.00;DAS.GOLDBERG Stadion
1374339600;Jul 20 2013 - 5:00pm;complete;2696;Wiener Neustadt;Salzburg;N/A;1;0.00;0.00;1.11;1.94;1;5;6;3;1;2;31;22,33,56,60,85;3;10;4;0;1;0;0;4;0;1;4;17;1;5;3;12;13;16;52;48;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;6.97;4.51;1.51;0.00;0.00;0.00;0.00;0.00;0.00;Teddybären&Plüsch-Stadion
1374339600;Jul 20 2013 - 5:00pm;complete;6413;Wolfsberger AC;Rapid Wien;N/A;1;0.00;0.00;1.33;1.33;2;2;4;2;0;2;58,89;29,37;6;3;2;0;4;0;0;2;2;2;6;12;2;5;4;7;8;26;51;49;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;3.29;3.37;2.33;0.00;0.00;0.00;0.00;0.00;0.00;Lavanttal Arena
1374417000;Jul 21 2013 - 2:30pm;complete;7406;Wacker Innsbruck;Sturm Graz;N/A;1;0.00;0.00;0.94;1.44;2;2;4;0;0;0;81,87;61,9;7;1;2;0;4;0;0;2;0;4;14;4;4;2;10;2;21;20;48;52;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;2.54;3.37;2.93;0.00;0.00;0.00;0.00;0.00;0.00;Tivoli Stadion Tirol
1374935400;Jul 27 2013 - 2:30pm;complete;12575;Rapid Wien;Wiener Neustadt;N/A;2;0.00;0.00;2.11;1.06;4;0;4;2;2;0;28,38,53,79;;5;1;0;0;0;1;0;0;1;0;14;3;4;1;10;2;11;13;50;50;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;1.31;5.58;9.99;0.00;0.00;0.00;0.00;0.00;0.00;Gerhard-Hanappi-Stadion (Wien)
1374944400;Jul 27 2013 - 5:00pm;complete;3873;Ried;Wolfsberger AC;N/A;2;0.00;0.00;1.44;0.94;1;0;1;0;0;0;68;;9;2;3;0;4;1;1;2;2;3;18;13;7;6;11;7;20;11;49;51;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;1.93;3.64;4.25;0.00;0.00;0.00;0.00;0.00;0.00;Keine Sorgen Arena (Ried Im Innkreis)
1374944400;Jul 27 2013 - 5:00pm;complete;12293;Salzburg;Austria Wien;N/A;2;0.00;0.00;2.50;1.33;5;1;6;3;2;1;9,28,46,64,73;40;3;3;3;0;4;0;1;2;1;3;10;8;1;7;9;1;22;21;50;50;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;1.87;3.67;4.49;0.00;0.00;0.00;0.00;0.00;0.00;Red Bull Arena (Wals-Siezenheim)
1374944400;Jul 27 2013 - 5:00pm;complete;1943;Admira;Wacker Innsbruck;N/A;2;0.00;0.00;1.67;0.67;1;2;3;2;1;1;41;17,78;8;10;1;0;3;0;1;0;1;2;11;19;6;10;5;9;24;15;52;48;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;2.13;3.59;3.55;0.00;0.00;0.00;0.00;0.00;0.00;BSFZ-Arena
1375021800;Jul 28 2013 - 2:30pm;complete;5376;Sturm Graz;Grödig;N/A;2;0.00;0.00;1.22;1.56;0;2;2;0;0;0;;79,89;3;5;1;0;2;0;1;0;2;0;7;9;2;2;5;7;16;14;49;51;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;1.65;4.01;5.71;0.00;0.00;0.00;0.00;0.00;0.00;Merkur Arena
1375540200;Aug 03 2013 - 2:30pm;complete;1540;Wiener Neustadt;Wolfsberger AC;N/A;3;0.00;0.00;1.11;0.94;2;1;3;2;1;1;12,78;1;2;4;0;0;2;0;0;0;1;1;14;6;6;3;8;3;9;9;53;47;0.00;0.00;0.00;0.00;3.50;50;50;50;50;50;50;50;50;100;5.00;9.00;2.70;3.38;2.75;0.00;0.00;0.00;0.00;0.00;0.00;Teddybären&Plüsch-Stadion
1375549200;Aug 03 2013 - 5:00pm;complete;1655;Grödig;Admira;N/A;3;1.00;0.00;1.44;0.67;7;1;8;4;3;1;25,32,42,56,69,89,90;7;10;2;4;0;3;3;3;1;4;2;10;6;7;3;3;3;10;10;52;48;0.00;0.00;0.00;0.00;1.00;0;50;0;0;0;0;0;50;50;13.00;13.00;2.12;3.52;3.65;0.00;0.00;0.00;0.00;0.00;0.00;DAS.GOLDBERG Stadion
1375549200;Aug 03 2013 - 5:00pm;complete;9085;Wacker Innsbruck;Salzburg;N/A;3;1.00;3.00;0.94;1.94;1;1;2;2;1;1;45;15;3;4;3;0;1;0;1;2;0;1;9;16;4;7;5;9;17;19;48;52;0.00;0.00;0.00;0.00;5.00;100;100;100;100;50;50;50;100;100;17.00;3.00;7.23;4.75;1.47;0.00;0.00;0.00;0.00;0.00;0.00;Tivoli Stadion Tirol
1375549200;Aug 03 2013 - 5:00pm;complete;8425;Austria Wien;Ried;N/A;3;3.00;1.00;1.61;0.94;3;3;6;2;2;0;22,45,61;60,80,85;6;9;2;0;5;0;1;1;3;2;14;11;7;3;7;8;15;22;52;48;0.00;0.00;0.00;0.00;1.00;0;50;0;0;0;0;0;50;50;17.00;7.00;1.58;4.26;6.09;0.00;0.00;0.00;0.00;0.00;0.00;Generali Arena (Wien)
1375626600;Aug 04 2013 - 2:30pm;complete;10250;Sturm Graz;Rapid Wien;N/A;3;0.00;1.00;1.22;1.33;2;4;6;1;1;0;4,88;47,52,77,90'3;2;4;6;0;3;1;0;6;4;0;7;5;1;1;6;4;21;17;47;53;0.00;0.00;0.00;0.00;3.00;50;100;50;50;0;50;50;100;100;6.00;5.00;3.15;3.38;2.40;0.00;0.00;0.00;0.00;0.00;0.00;Merkur Arena
1376145000;Aug 10 2013 - 2:30pm;complete;4600;Wolfsberger AC;Wacker Innsbruck;N/A;4;1.00;3.00;1.33;0.67;1;1;2;1;1;0;30;65;7;3;3;1;3;0;1;3;1;2;9;7;3;3;6;4;16;31;48;52;0.00;0.00;0.00;0.00;3.50;100;100;100;50;0;100;100;50;100;16.00;5.00;2.17;3.56;3.46;0.00;0.00;0.00;0.00;0.00;0.00;Lavanttal Arena
1376154000;Aug 10 2013 - 5:00pm;complete;4283;Ried;Wiener Neustadt;N/A;4;3.00;0.00;1.44;1.06;1;1;2;1;1;0;32;50;10;5;1;0;1;0;0;1;0;1;19;11;9;6;10;5;14;11;53;47;0.00;0.00;0.00;0.00;2.50;0;50;50;50;0;50;50;50;100;10.00;5.00;1.52;4.34;7.00;0.00;0.00;0.00;0.00;0.00;0.00;Keine Sorgen Arena (Ried Im Innkreis)
1376154000;Aug 10 2013 - 5:00pm;complete;15335;Salzburg;Grödig;N/A;4;3.00;3.00;2.50;1.56;4;1;5;1;0;1;52,67,84,90;38;4;6;3;0;4;1;1;2;1;4;6;6;1;3;5;3;20;20;51;49;0.00;0.00;0.00;0.00;4.00;50;100;50;50;50;50;50;100;100;8.00;5.00;1.30;6.11;9.99;0.00;0.00;0.00;0.00;0.00;0.00;Red Bull Arena (Wals-Siezenheim)
1376154000;Aug 10 2013 - 5:00pm;complete;2912;Admira;Sturm Graz;N/A;4;0.00;1.00;1.67;1.44;1;1;2;1;0;1;52;5;7;4;2;0;3;0;2;0;2;1;15;9;5;3;10;6;20;11;52;48;0.00;0.00;0.00;0.00;3.50;100;100;100;50;0;50;50;50;100;9.00;5.00;2.59;3.54;2.76;0.00;0.00;0.00;0.00;0.00;0.00;BSFZ-Arena
1376231400;Aug 11 2013 - 2:30pm;complete;16118;Rapid Wien;Austria Wien;N/A;4;3.00;0.00;2.11;1.33;0;0;0;0;0;0;;;3;9;2;1;2;0;3;0;0;2;8;12;1;5;7;7;16;23;49;51;0.00;0.00;0.00;0.00;5.00;50;100;100;100;50;100;100;100;100;8.00;4.00;2.50;3.45;2.92;0.00;0.00;0.00;0.00;0.00;0.00;Gerhard-Hanappi-Stadion (Wien)
1376749800;Aug 17 2013 - 2:30pm;complete;7852;Sturm Graz;Salzburg;N/A;5;0.00;2.00;1.22;1.94;1;1;2;1;0;1;58;23;3;4;0;0;5;0;0;0;3;2;5;13;1;9;4;4;15;12;50;50;0.00;0.00;0.00;0.00;4.00;75;100;50;50;50;50;75;75;75;9.50;4.50;6.35;4.50;1.54;0.00;0.00;0.00;0.00;0.00;0.00;Merkur Arena
1376758800;Aug 17 2013 - 5:00pm;complete;1643;Grödig;Wolfsberger AC;N/A;5;2.00;0.00;1.44;0.94;4;3;7;3;3;0;10,19,29,73;71,80,86;5;2;3;1;2;0;1;3;1;1;13;15;6;8;7;7;19;13;53;47;0.00;0.00;0.00;0.00;3.00;50;50;50;25;25;50;50;25;75;11.00;9.50;1.98;3.63;4.01;0.00;0.00;0.00;0.00;0.00;0.00;DAS.GOLDBERG Stadion
1376758800;Aug 17 2013 - 5:00pm;complete;6481;Wacker Innsbruck;Ried;N/A;5;1.00;1.00;0.94;0.94;2;3;5;4;2;2;21,23;3,44,72;3;4;2;0;4;1;2;0;0;5;15;12;10;6;5;6;18;26;48;52;0.00;0.00;0.00;0.00;3.00;75;75;50;50;25;50;50;50;50;15.00;7.50;2.50;3.52;2.88;0.00;0.00;0.00;0.00;0.00;0.00;Tivoli Stadion Tirol
1376758800;Aug 17 2013 - 5:00pm;complete;8185;Austria Wien;Wiener Neustadt;N/A;5;2.00;0.50;1.61;1.06;5;0;5;2;2;0;8,29,70,76,90'4;;8;3;1;0;4;0;0;1;0;4;16;9;5;1;11;8;11;13;51;49;0.00;0.00;0.00;0.00;3.50;50;100;50;50;25;50;75;75;100;9.00;3.50;1.37;5.25;9.05;0.00;0.00;0.00;0.00;0.00;0.00;Generali Arena (Wien)
1376836200;Aug 18 2013 - 2:30pm;complete;6624;Admira;Rapid Wien;N/A;5;0.50;2.00;1.67;1.33;2;0;2;1;1;0;37,9;;4;7;3;0;4;0;2;1;2;2;11;12;4;4;7;8;22;8;53;47;0.00;0.00;0.00;0.00;3.75;100;100;75;50;25;50;100;50;100;11.00;6.00;4.37;3.85;1.85;0.00;0.00;0.00;0.00;0.00;0.00;BSFZ-Arena
1377354600;Aug 24 2013 - 2:30pm;complete;5127;Ried;Sturm Graz;N/A;6;2.00;1.00;1.44;1.44;3;0;3;2;2;0;12,35,68;;7;6;4;1;4;0;0;5;1;3;8;8;2;2;6;6;15;18;53;47;0.00;0.00;0.00;0.00;2.25;75;75;25;25;0;0;50;25;100;12.00;5.50;1.88;3.74;4.34;0.00;0.00;0.00;0.00;0.00;0.00;Keine Sorgen Arena (Ried Im Innkreis)
