timestamp;date_GMT;status;attendance;home_team_name;away_team_name;referee;Game Week;Pre-Match PPG (Home);Pre-Match PPG (Away);home_ppg;away_ppg;home_team_goal_count;away_team_goal_count;total_goal_count;total_goals_at_half_time;home_team_goal_count_half_time;away_team_goal_count_half_time;home_team_goal_timings;away_team_goal_timings;home_team_corner_count;away_team_corner_count;home_team_yellow_cards;home_team_red_cards;away_team_yellow_cards;away_team_red_cards;home_team_first_half_cards;home_team_second_half_cards;away_team_first_half_cards;away_team_second_half_cards;home_team_shots;away_team_shots;home_team_shots_on_target;away_team_shots_on_target;home_team_shots_off_target;away_team_shots_off_target;home_team_fouls;away_team_fouls;home_team_possession;away_team_possession;Home Team Pre-Match xG;Away Team Pre-Match xG;team_a_xg;team_b_xg;average_goals_per_match_pre_match;btts_percentage_pre_match;over_15_percentage_pre_match;over_25_percentage_pre_match;over_35_percentage_pre_match;over_45_percentage_pre_match;over_15_HT_FHG_percentage_pre_match;over_05_HT_FHG_percentage_pre_match;over_15_2HG_percentage_pre_match;over_05_2HG_percentage_pre_match;average_corners_per_match_pre_match;average_cards_per_match_pre_match;odds_ft_home_team_win;odds_ft_draw;odds_ft_away_team_win;odds_ft_over15;odds_ft_over25;odds_ft_over35;odds_ft_over45;odds_btts_yes;odds_btts_no;stadium_name
1375468200;Aug 02 2013 - 6:30pm;complete;1000;RWDM Brussels;Lommel United;N/A;1;0.00;0.00;1.59;1.35;2;0;2;1;1;0;36,83;;-1;-1;1;0;3;0;1;0;3;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;3.21;3.43;2.34;0.00;0.00;0.00;0.00;0.00;0.00;Edmond Machtens-Stadion
1375549200;Aug 03 2013 - 5:00pm;complete;500;Francs Borains;AS Eupen;N/A;1;0.00;0.00;1.47;1.94;0;4;4;2;0;2;;10,16,63,74;2;7;4;0;1;0;4;0;1;0;10;4;4;2;6;2;17;8;47;53;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;2.75;3.41;2.65;0.00;0.00;0.00;0.00;0.00;0.00;Stade Robert Urbain
1375552800;Aug 03 2013 - 6:00pm;complete;11500;Royal Antwerp FC;Eendracht Aalst;N/A;1;0.00;0.00;1.71;1.06;2;0;2;0;0;0;53,6;;5;4;0;0;3;0;0;0;3;0;10;7;4;3;6;4;13;20;48;52;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;1.76;3.91;4.76;0.00;0.00;0.00;0.00;0.00;0.00;Bosuilstadion
1375552800;Aug 03 2013 - 6:00pm;complete;5100;Sint-Truiden;Visé;N/A;1;0.00;0.00;2.24;0.47;2;1;3;1;1;0;21,57;79;2;4;2;0;2;1;2;0;2;1;10;9;3;4;7;5;19;22;50;50;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;1.58;4.29;5.95;0.00;0.00;0.00;0.00;0.00;0.00;Stayen (Sint-Truiden (St.-Trond))
1375552800;Aug 03 2013 - 6:00pm;complete;2000;KVC Westerlo;AFC Tubize;N/A;1;0.00;0.00;2.65;2.06;2;2;4;2;0;2;69,85;25,42;12;9;0;0;5;1;0;0;5;1;17;1;5;0;12;1;10;14;48;52;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;1.60;4.15;5.92;0.00;0.00;0.00;0.00;0.00;0.00;Het Kuipje
1375552800;Aug 03 2013 - 6:00pm;complete;650;SV Roeselare;Royal Excel Mouscron;N/A;1;0.00;0.00;1.29;2.06;1;1;2;0;0;0;90'1;71;2;5;2;0;1;1;2;0;1;1;6;5;4;2;2;3;10;10;50;50;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;3.61;3.55;2.11;0.00;0.00;0.00;0.00;0.00;0.00;Stadion Schiervelde
1375621200;Aug 04 2013 - 1:00pm;complete;1700;Hoogstraten VV;Excelsior Virton;N/A;1;0.00;0.00;0.71;0.82;0;3;3;1;0;1;;34,59,85;10;3;2;0;2;0;2;0;2;0;6;7;1;3;5;4;14;16;51;49;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;2.36;3.45;3.11;0.00;0.00;0.00;0.00;0.00;0.00;Sportcomplex Seminarie
1375621200;Aug 04 2013 - 1:00pm;complete;1000;White Star Bruxelles;ASV Geel;N/A;1;0.00;0.00;1.24;1.12;2;1;3;3;2;1;19,3;2;4;8;3;0;1;0;3;0;1;0;8;13;2;5;6;8;22;16;49;51;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;1.57;4.23;6.18;0.00;0.00;0.00;0.00;0.00;0.00;Stade Communal Fallon (Bruxelles (Brussels))
1375621200;Aug 04 2013 - 1:00pm;complete;800;Dessel Sport;KSK Heist;N/A;1;0.00;0.00;1.06;0.53;1;0;1;1;1;0;30;;6;5;2;0;1;0;2;0;1;0;13;8;4;3;9;5;7;8;53;47;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;1.84;3.69;4.53;0.00;0.00;0.00;0.00;0.00;0.00;Armand Melis Stadion
1376073000;Aug 09 2013 - 6:30pm;complete;2500;Lommel United;KVC Westerlo;N/A;2;0.00;0.00;2.12;1.94;0;2;2;0;0;0;;64,74;4;8;2;0;1;0;2;0;1;0;3;9;1;4;2;5;13;15;49;51;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;3.27;3.42;2.29;0.00;0.00;0.00;0.00;0.00;0.00;Soevereinstadion
1376157600;Aug 10 2013 - 6:00pm;complete;3500;ASV Geel;Dessel Sport;N/A;2;0.00;0.00;1.41;1.00;1;2;3;2;1;1;3;20,51;8;2;1;0;2;0;1;0;2;0;15;7;4;5;11;2;16;20;51;49;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;2.44;3.38;3.04;0.00;0.00;0.00;0.00;0.00;0.00;Stadion De Leunen
1376157600;Aug 10 2013 - 6:00pm;complete;2300;Excelsior Virton;Sint-Truiden;N/A;2;0.00;0.00;1.41;1.71;0;0;0;0;0;0;;;-1;-1;2;0;4;0;2;0;4;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;3.42;3.53;2.18;0.00;0.00;0.00;0.00;0.00;0.00;Stade Yvan Georges
1376157600;Aug 10 2013 - 6:00pm;complete;1300;Royal Excel Mouscron;White Star Bruxelles;N/A;2;0.00;0.00;1.82;1.12;2;1;3;0;0;0;57,65;63;7;3;0;0;2;0;0;0;2;0;4;6;2;4;2;2;10;18;49;51;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Stade Le Canonnier
1376157600;Aug 10 2013 - 6:00pm;complete;700;Visé;RWDM Brussels;N/A;2;0.00;0.00;0.29;1.06;0;2;2;0;0;0;;69,83;7;6;2;0;0;0;2;0;0;0;5;13;2;7;3;6;14;23;49;51;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;2.62;3.37;2.81;0.00;0.00;0.00;0.00;0.00;0.00;Stade de la Cité de l'Oie
