timestamp;date_GMT;status;attendance;home_team_name;away_team_name;referee;Game Week;Pre-Match PPG (Home);Pre-Match PPG (Away);home_ppg;away_ppg;home_team_goal_count;away_team_goal_count;total_goal_count;total_goals_at_half_time;home_team_goal_count_half_time;away_team_goal_count_half_time;home_team_goal_timings;away_team_goal_timings;home_team_corner_count;away_team_corner_count;home_team_yellow_cards;home_team_red_cards;away_team_yellow_cards;away_team_red_cards;home_team_first_half_cards;home_team_second_half_cards;away_team_first_half_cards;away_team_second_half_cards;home_team_shots;away_team_shots;home_team_shots_on_target;away_team_shots_on_target;home_team_shots_off_target;away_team_shots_off_target;home_team_fouls;away_team_fouls;home_team_possession;away_team_possession;Home Team Pre-Match xG;Away Team Pre-Match xG;team_a_xg;team_b_xg;average_goals_per_match_pre_match;btts_percentage_pre_match;over_15_percentage_pre_match;over_25_percentage_pre_match;over_35_percentage_pre_match;over_45_percentage_pre_match;over_15_HT_FHG_percentage_pre_match;over_05_HT_FHG_percentage_pre_match;over_15_2HG_percentage_pre_match;over_05_2HG_percentage_pre_match;average_corners_per_match_pre_match;average_cards_per_match_pre_match;odds_ft_home_team_win;odds_ft_draw;odds_ft_away_team_win;odds_ft_over15;odds_ft_over25;odds_ft_over35;odds_ft_over45;odds_btts_yes;odds_btts_no;stadium_name
1374256800;Jul 19 2013 - 6:00pm;complete;950;Chernomoretz Burgas;Cherno More;N/A;1;0.00;0.00;1.37;0.95;1;0;1;1;1;0;17;;2;5;2;0;3;0;1;1;1;2;6;6;1;4;5;2;16;25;52;48;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Stadion Lazur
1374332400;Jul 20 2013 - 3:00pm;complete;1400;Lyubimets;Ludogorets;N/A;1;0.00;0.00;0.74;2.05;1;0;1;1;1;0;10;;3;9;3;0;2;1;1;2;0;3;11;13;5;8;6;5;29;17;52;48;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Gradski stadion
1374334200;Jul 20 2013 - 3:30pm;complete;2200;Pirin Gotse Delchev;Lokomotiv Sofia;N/A;1;0.00;0.00;0.95;1.11;2;2;4;2;2;0;11,19;62,71;5;10;5;1;2;1;2;4;1;2;10;14;5;7;5;7;28;20;53;47;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Gradski stadion (Gotse Delchev)
1374339600;Jul 20 2013 - 5:00pm;complete;8400;CSKA Sofia;Lokomotiv Plovdiv;N/A;1;0.00;0.00;2.26;1.05;0;0;0;0;0;0;;;6;3;4;0;3;0;0;4;2;1;7;3;3;0;4;3;17;25;48;52;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Stadion Bâlgarska Armija
1374418800;Jul 21 2013 - 3:00pm;complete;10400;Botev Plovdiv;Levski Sofia;N/A;1;0.00;0.00;2.32;1.63;2;1;3;1;0;1;57,75;5;5;3;3;0;3;1;3;0;3;1;8;8;4;5;4;3;21;15;49;51;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Stadion Hristo Botev (Plovdiv)
1374429600;Jul 21 2013 - 6:00pm;complete;650;Lovech;Neftohimik;N/A;1;0.00;0.00;1.95;0.42;4;1;5;3;2;1;41,44,59,84;14;8;1;2;0;3;0;2;0;2;1;15;3;4;1;11;2;17;22;50;50;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Gradski stadion (Lovech)
1374505200;Jul 22 2013 - 3:00pm;complete;200;Slavia Sofia;Beroe;N/A;1;0.00;0.00;1.79;1.47;0;2;2;0;0;0;;50,67;7;7;4;0;0;0;1;3;0;0;10;10;5;6;5;4;16;12;49;51;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Stadion Slavija
1374850800;Jul 26 2013 - 3:00pm;complete;500;Lokomotiv Sofia;Lovech;N/A;2;0.00;0.00;1.74;1.84;0;2;2;1;0;1;;15,89;6;6;2;0;3;0;0;2;3;0;7;8;4;5;3;3;11;23;49;51;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Stadion Lokomotiv
1374937200;Jul 27 2013 - 3:00pm;complete;1200;Cherno More;Slavia Sofia;N/A;2;0.00;0.00;1.89;1.11;0;0;0;0;0;0;;;7;1;3;0;1;1;0;3;0;2;8;8;5;2;3;6;26;28;47;53;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Stadion Ticha
1374939000;Jul 27 2013 - 3:30pm;complete;800;Neftohimik;Lyubimets;N/A;2;0.00;0.00;0.89;0.37;1;0;1;0;0;0;74;;-1;-1;2;0;4;0;0;2;0;4;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Stadion Lazur
