timestamp;date_GMT;status;attendance;home_team_name;away_team_name;referee;Game Week;Pre-Match PPG (Home);Pre-Match PPG (Away);home_ppg;away_ppg;home_team_goal_count;away_team_goal_count;total_goal_count;total_goals_at_half_time;home_team_goal_count_half_time;away_team_goal_count_half_time;home_team_goal_timings;away_team_goal_timings;home_team_corner_count;away_team_corner_count;home_team_yellow_cards;home_team_red_cards;away_team_yellow_cards;away_team_red_cards;home_team_first_half_cards;home_team_second_half_cards;away_team_first_half_cards;away_team_second_half_cards;home_team_shots;away_team_shots;home_team_shots_on_target;away_team_shots_on_target;home_team_shots_off_target;away_team_shots_off_target;home_team_fouls;away_team_fouls;home_team_possession;away_team_possession;Home Team Pre-Match xG;Away Team Pre-Match xG;team_a_xg;team_b_xg;average_goals_per_match_pre_match;btts_percentage_pre_match;over_15_percentage_pre_match;over_25_percentage_pre_match;over_35_percentage_pre_match;over_45_percentage_pre_match;over_15_HT_FHG_percentage_pre_match;over_05_HT_FHG_percentage_pre_match;over_15_2HG_percentage_pre_match;over_05_2HG_percentage_pre_match;average_corners_per_match_pre_match;average_cards_per_match_pre_match;odds_ft_home_team_win;odds_ft_draw;odds_ft_away_team_win;odds_ft_over15;odds_ft_over25;odds_ft_over35;odds_ft_over45;odds_btts_yes;odds_btts_no;stadium_name
1248454800;Jul 24 2009 - 5:00pm;complete;N/A;Teplice;Sparta Praha;Pavel Kralovec;1;0.00;0.00;2.07;1.80;0;0;0;0;0;0;;;-1;-1;2;0;0;0;1;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;AGC Aréna Na Stínadlech (Teplice)
1248530400;Jul 25 2009 - 2:00pm;complete;N/A;Baník Ostrava;Příbram;N/A;1;0.00;0.00;2.27;0.33;2;1;3;0;0;0;56,9;89;-1;-1;4;1;4;1;0;5;1;4;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Bazaly (Slezská Ostrava)
1248538500;Jul 25 2009 - 4:15pm;complete;N/A;Slavia Praha;Mladá Boleslav;N/A;1;0.00;0.00;1.67;1.27;1;1;2;0;0;0;78;68;-1;-1;2;0;4;0;1;1;2;2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Sinobo Stadium (Praha)
1248544800;Jul 25 2009 - 6:00pm;complete;N/A;Slovácko;Viktoria Plzeň;Radek Prihoda;1;0.00;0.00;1.60;1.33;2;3;5;4;1;3;4,56;11,31,35;-1;-1;3;0;5;0;1;2;2;3;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Městský fotbalový stadion Miroslava Valenty (Uherské Hradiště)
1248544800;Jul 25 2009 - 6:00pm;complete;N/A;Slovan Liberec;Kladno;Tomas Kocourek;1;0.00;0.00;1.47;0.87;1;1;2;0;0;0;62;53;-1;-1;2;0;5;0;1;1;3;2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Stadion u Nisy (Liberec)
1248620400;Jul 26 2009 - 3:00pm;complete;N/A;Bohemians Praha;Sigma Olomouc;Libor Kovarik;1;0.00;0.00;0.80;1.13;0;2;2;1;0;1;;9,66;-1;-1;2;0;2;0;0;2;0;2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Stadion Evžena Rošického (Praha)
1248620400;Jul 26 2009 - 3:00pm;complete;N/A;České Budějovice;Jablonec;N/A;1;0.00;0.00;1.13;1.80;1;1;2;2;1;1;3;13;-1;-1;3;0;2;0;0;3;0;2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Fotbalový stadion Střelecký ostrov (Ceské Budejovice)
1248708600;Jul 27 2009 - 3:30pm;complete;N/A;Bohemians 1905;Zbrojovka Brno;Jan Jilek;1;0.00;0.00;1.27;1.07;0;0;0;0;0;0;;;-1;-1;2;0;0;0;0;2;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Stadion Ďolíček (Praha)
1249059600;Jul 31 2009 - 5:00pm;complete;N/A;Sparta Praha;Bohemians 1905;Libor Kovarik;2;0.00;0.00;2.33;1.00;0;0;0;0;0;0;;;-1;-1;2;0;3;0;0;2;1;2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Generali Arena (Praha)
1249143300;Aug 01 2009 - 4:15pm;complete;N/A;Viktoria Plzeň;Teplice;Milan Makovicka;2;0.00;0.00;1.87;1.60;2;2;4;3;2;1;2,11;7,74;-1;-1;3;0;3;0;1;2;1;2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Doosan Aréna (Plzeň)
1249225200;Aug 02 2009 - 3:00pm;complete;N/A;Bohemians Praha;České Budějovice;N/A;2;0.00;0.00;0.80;0.93;0;2;2;1;0;1;;33,9;-1;-1;0;0;1;0;0;0;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0.00;0.00;0.00;0.00;1.00;0;50;0;0;0;0;50;0;50;0.00;2.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Stadion Ďolíček (Praha)
1249225200;Aug 02 2009 - 3:00pm;complete;N/A;Kladno;Příbram;Jan Jilek;2;0.00;0.00;0.80;0.33;0;2;2;1;0;1;;44,89;-1;-1;1;0;1;0;1;0;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0.00;0.00;0.00;0.00;1.50;50;50;50;0;0;0;0;50;50;0.00;5.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Stadion Františka Kloze (Kladno)
1249225200;Aug 02 2009 - 3:00pm;complete;N/A;Mladá Boleslav;Slovan Liberec;N/A;2;0.00;0.00;1.33;1.00;4;1;5;5;4;1;19,22,36,40;43;-1;-1;2;0;3;0;2;0;0;3;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Lokotrans Aréna (Mladá Boleslav)
1249225200;Aug 02 2009 - 3:00pm;complete;N/A;Sigma Olomouc;Baník Ostrava;Radek Prihoda;2;0.00;0.00;2.00;1.73;0;0;0;0;0;0;;;-1;-1;2;1;3;1;0;3;2;2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Andrův stadion (Olomouc)
1249225200;Aug 02 2009 - 3:00pm;complete;N/A;Zbrojovka Brno;Slavia Praha;Pavel Franek;2;0.00;0.00;1.27;1.07;2;0;2;2;2;0;7,12;;-1;-1;0;0;2;0;0;0;0;2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Městský fotbalový stadion Srbská (Brno)
1249313400;Aug 03 2009 - 3:30pm;complete;N/A;Jablonec;Slovácko;Michal Paták;2;0.00;0.00;2.27;0.40;3;2;5;3;2;1;15,41,76;10,55;-1;-1;0;0;2;0;0;0;2;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Stadion Střelnice (Jablonec nad Nisou)
1249740000;Aug 08 2009 - 2:00pm;complete;N/A;Příbram;Sparta Praha;Pavel Franek;3;0.00;1.00;2.07;1.80;1;1;2;1;0;1;68;45;-1;-1;1;0;3;0;0;1;1;2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Stadion Na Litavce (Příbram)
1249748100;Aug 08 2009 - 4:15pm;complete;N/A;Baník Ostrava;Viktoria Plzeň;Pavel Kralovec;3;3.00;3.00;2.27;1.33;1;0;1;0;0;0;85;;-1;-1;2;0;2;0;1;1;1;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0.00;0.00;0.00;0.00;4.00;100;100;100;50;50;50;50;50;100;0.00;10.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Bazaly (Slezská Ostrava)
1249826400;Aug 09 2009 - 2:00pm;complete;N/A;Bohemians 1905;Jablonec;Radek Matejek;3;1.00;1.00;1.27;1.80;0;1;1;1;0;1;;40;-1;-1;2;0;2;0;0;2;0;2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0.00;0.00;0.00;0.00;1.00;50;50;0;0;0;50;50;0;0;0.00;4.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Stadion Ďolíček (Praha)
1249830000;Aug 09 2009 - 3:00pm;complete;N/A;Teplice;České Budějovice;Radek Prihoda;3;1.00;3.00;2.07;0.93;3;0;3;2;2;0;4,22,79;;-1;-1;1;0;2;0;0;1;0;2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0.00;0.00;0.00;0.00;1.00;0;50;0;0;0;0;50;0;50;0.00;3.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;AGC Aréna Na Stínadlech (Teplice)
1249830000;Aug 09 2009 - 3:00pm;complete;N/A;Slovan Liberec;Zbrojovka Brno;N/A;3;1.00;1.00;1.47;1.07;0;1;1;1;0;1;;35;-1;-1;1;0;2;0;0;1;0;2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0.00;0.00;0.00;0.00;1.00;50;50;0;0;0;0;0;50;50;0.00;2.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Stadion u Nisy (Liberec)
1249837200;Aug 09 2009 - 5:00pm;complete;N/A;Slavia Praha;Bohemians Praha;Tomas Kocourek;3;1.00;0.00;1.67;0.27;3;1;4;2;2;0;3,27,74;64;-1;-1;5;0;3;1;3;2;2;2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0.00;0.00;0.00;0.00;1.00;50;50;0;0;0;0;0;50;50;0.00;2.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Sinobo Stadium (Praha)
1249837200;Aug 09 2009 - 5:00pm;complete;N/A;Slovácko;Sigma Olomouc;N/A;3;0.00;3.00;1.60;1.13;2;0;2;2;2;0;6,27;;-1;-1;5;0;3;0;1;4;2;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0.00;0.00;0.00;0.00;3.50;50;100;50;50;50;50;100;0;100;0.00;5.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Městský fotbalový stadion Miroslava Valenty (Uherské Hradiště)
1249918200;Aug 10 2009 - 3:30pm;complete;N/A;Kladno;Mladá Boleslav;Jiri Jech;3;0.00;1.00;0.80;1.27;1;3;4;3;1;2;3;37,43,52;-1;-1;1;0;0;0;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0.00;0.00;0.00;0.00;2.00;50;100;0;0;0;0;50;50;100;0.00;5.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Stadion Františka Kloze (Kladno)
1250269200;Aug 14 2009 - 5:00pm;complete;N/A;Zbrojovka Brno;Slovácko;N/A;4;3.00;0.00;1.27;0.40;1;0;1;0;0;0;60;;-1;-1;2;0;1;0;0;2;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0.00;0.00;0.00;0.00;3.50;50;100;50;50;50;100;100;50;50;0.00;2.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Městský fotbalový stadion Srbská (Brno)
