timestamp;date_GMT;status;attendance;home_team_name;away_team_name;referee;Game Week;Pre-Match PPG (Home);Pre-Match PPG (Away);home_ppg;away_ppg;home_team_goal_count;away_team_goal_count;total_goal_count;total_goals_at_half_time;home_team_goal_count_half_time;away_team_goal_count_half_time;home_team_goal_timings;away_team_goal_timings;home_team_corner_count;away_team_corner_count;home_team_yellow_cards;home_team_red_cards;away_team_yellow_cards;away_team_red_cards;home_team_first_half_cards;home_team_second_half_cards;away_team_first_half_cards;away_team_second_half_cards;home_team_shots;away_team_shots;home_team_shots_on_target;away_team_shots_on_target;home_team_shots_off_target;away_team_shots_off_target;home_team_fouls;away_team_fouls;home_team_possession;away_team_possession;Home Team Pre-Match xG;Away Team Pre-Match xG;team_a_xg;team_b_xg;average_goals_per_match_pre_match;btts_percentage_pre_match;over_15_percentage_pre_match;over_25_percentage_pre_match;over_35_percentage_pre_match;over_45_percentage_pre_match;over_15_HT_FHG_percentage_pre_match;over_05_HT_FHG_percentage_pre_match;over_15_2HG_percentage_pre_match;over_05_2HG_percentage_pre_match;average_corners_per_match_pre_match;average_cards_per_match_pre_match;odds_ft_home_team_win;odds_ft_draw;odds_ft_away_team_win;odds_ft_over15;odds_ft_over25;odds_ft_over35;odds_ft_over45;odds_btts_yes;odds_btts_no;stadium_name
1374768000;Jul 25 2013 - 4:00pm;complete;1153;HB Køge;Lyngby;N/A;1;0.00;0.00;2.00;1.38;2;0;2;1;1;0;21,88;;3;6;2;0;0;0;2;0;0;0;14;7;4;2;10;5;16;7;52;48;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;3.09;3.41;2.39;0.00;0.00;0.00;0.00;0.00;0.00;Castus Park (Herfølge)
1375009200;Jul 28 2013 - 11:00am;complete;1038;Hvidovre;Hobro;N/A;1;0.00;0.00;1.38;1.65;1;2;3;2;1;1;24;37,74;3;7;2;0;2;0;2;0;2;0;11;14;6;3;5;11;20;8;49;51;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;2.27;3.55;3.18;0.00;0.00;0.00;0.00;0.00;0.00;Kæmpernes Arena
1375011900;Jul 28 2013 - 11:45am;complete;2359;Silkeborg;Brønshøj;N/A;1;0.00;0.00;2.06;1.82;4;1;5;2;2;0;12,12,53,70;77;3;6;0;0;1;0;0;0;1;0;9;11;2;4;7;7;6;9;51;49;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;1.59;4.16;5.98;0.00;0.00;0.00;0.00;0.00;0.00;MASCOT PARK (Silkeborg)
1375016400;Jul 28 2013 - 1:00pm;complete;896;Fredericia;Marienlyst;N/A;1;0.00;0.00;1.59;0.06;3;0;3;1;1;0;30,57,83;;-1;-1;0;0;2;0;0;0;2;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;1.41;4.84;8.30;0.00;0.00;0.00;0.00;0.00;0.00;Monjasa Park
1375016400;Jul 28 2013 - 1:00pm;complete;1766;Vejle;Vendsyssel;N/A;1;0.00;0.00;1.29;0.94;1;3;4;1;0;1;56;33,74,81;-1;-1;0;0;2;0;0;0;2;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;1.64;4.03;5.63;0.00;0.00;0.00;0.00;0.00;0.00;Vejle Stadion
1375020000;Jul 28 2013 - 2:00pm;complete;2408;Horsens;AB;N/A;1;0.00;0.00;1.35;0.76;4;1;5;4;3;1;18,26,45,80;42;6;4;0;0;2;0;0;0;2;0;17;10;6;2;11;8;7;10;48;52;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;1.56;4.34;6.10;0.00;0.00;0.00;0.00;0.00;0.00;CASA Arena Horsens
1375372800;Aug 01 2013 - 4:00pm;complete;1688;Vejle;Lyngby;N/A;2;0.00;0.00;1.29;1.38;2;0;2;0;0;0;76,89;;-1;-1;2;0;1;0;2;0;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0.00;0.00;0.00;0.00;3.00;50;100;50;50;0;0;100;50;100;6.00;0.00;2.36;3.52;3.06;0.00;0.00;0.00;0.00;0.00;0.00;Vejle Stadion
1375376400;Aug 01 2013 - 5:00pm;complete;498;Marienlyst;HB Køge;N/A;2;0.00;0.00;0.88;0.94;1;1;2;1;0;1;74;27;1;12;3;0;2;1;3;0;2;1;5;16;4;2;1;14;11;13;50;50;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;5.31;4.19;1.65;0.00;0.00;0.00;0.00;0.00;0.00;Odense Atletikstadion (Odense V)
1375461000;Aug 02 2013 - 4:30pm;complete;921;Hvidovre;Fredericia;N/A;2;0.00;0.00;1.38;1.00;1;1;2;1;1;0;27;78;4;4;0;0;1;0;0;0;1;0;17;10;6;2;11;8;10;7;47;53;0.00;0.00;0.00;0.00;1.50;50;50;50;0;0;50;50;0;50;3.00;2.00;3.59;3.69;2.06;0.00;0.00;0.00;0.00;0.00;0.00;Kæmpernes Arena
1375534800;Aug 03 2013 - 1:00pm;complete;1024;Brønshøj;AB;N/A;2;0.00;0.00;1.38;0.76;1;2;3;0;0;0;58;50,59;1;3;1;1;3;0;1;1;3;0;10;4;5;2;5;2;18;18;50;50;0.00;0.00;0.00;0.00;2.50;50;50;50;50;50;50;50;0;50;4.00;2.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Tingbjerg Idrætspark
1375621200;Aug 04 2013 - 1:00pm;complete;1002;Vendsyssel;Horsens;N/A;2;0.00;0.00;1.38;1.81;0;1;1;1;0;1;;15;5;9;3;0;4;0;3;0;4;0;4;13;1;8;3;5;13;14;47;53;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;4.50;3.87;1.81;0.00;0.00;0.00;0.00;0.00;0.00;Hjørring Stadion (Hjørring)
1375624800;Aug 04 2013 - 2:00pm;complete;1169;Hobro;Silkeborg;N/A;2;0.00;0.00;2.31;1.94;5;0;5;3;3;0;17,27,44,50,65;;6;4;2;0;3;0;2;0;3;0;6;9;3;4;3;5;12;18;52;48;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;4.41;3.85;1.83;0.00;0.00;0.00;0.00;0.00;0.00;HDS Arena
