timestamp;date_GMT;status;attendance;home_team_name;away_team_name;referee;Game Week;Pre-Match PPG (Home);Pre-Match PPG (Away);home_ppg;away_ppg;home_team_goal_count;away_team_goal_count;total_goal_count;total_goals_at_half_time;home_team_goal_count_half_time;away_team_goal_count_half_time;home_team_goal_timings;away_team_goal_timings;home_team_corner_count;away_team_corner_count;home_team_yellow_cards;home_team_red_cards;away_team_yellow_cards;away_team_red_cards;home_team_first_half_cards;home_team_second_half_cards;away_team_first_half_cards;away_team_second_half_cards;home_team_shots;away_team_shots;home_team_shots_on_target;away_team_shots_on_target;home_team_shots_off_target;away_team_shots_off_target;home_team_fouls;away_team_fouls;home_team_possession;away_team_possession;Home Team Pre-Match xG;Away Team Pre-Match xG;team_a_xg;team_b_xg;average_goals_per_match_pre_match;btts_percentage_pre_match;over_15_percentage_pre_match;over_25_percentage_pre_match;over_35_percentage_pre_match;over_45_percentage_pre_match;over_15_HT_FHG_percentage_pre_match;over_05_HT_FHG_percentage_pre_match;over_15_2HG_percentage_pre_match;over_05_2HG_percentage_pre_match;average_corners_per_match_pre_match;average_cards_per_match_pre_match;odds_ft_home_team_win;odds_ft_draw;odds_ft_away_team_win;odds_ft_over15;odds_ft_over25;odds_ft_over35;odds_ft_over45;odds_btts_yes;odds_btts_no;stadium_name
1398513600;Apr 26 2014 - 12:00pm;complete;1136;Haka;JJK;N/A;N/A;0.00;0.00;1.93;1.38;2;0;2;0;0;0;77,90'6;;9;7;3;0;0;1;1;2;0;1;8;8;6;2;2;6;11;12;57;43;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;1.61;4.06;6.02;0.00;0.00;0.00;0.00;0.00;0.00;Tehtaan kenttä
1398603600;Apr 27 2014 - 1:00pm;complete;632;JIPPO;Viikingit;N/A;N/A;0.00;0.00;0.92;0.14;1;0;1;0;0;0;56;;-1;-1;2;0;3;0;0;2;3;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;3.68;3.48;2.10;0.00;0.00;0.00;0.00;0.00;0.00;Joensuun Keskuskenttä
1398603600;Apr 27 2014 - 1:00pm;complete;1428;Jazz;Oulu;N/A;N/A;0.00;0.00;0.54;1.54;0;1;1;1;0;1;;16;5;4;2;0;3;0;2;0;0;3;9;8;3;4;6;4;11;15;54;46;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;2.48;3.39;2.97;0.00;0.00;0.00;0.00;0.00;0.00;Porin Stadion
1398603600;Apr 27 2014 - 1:00pm;complete;450;PK-35 Vantaa;Ilves;N/A;N/A;0.00;0.00;1.54;1.54;2;1;3;2;1;1;44,5;18;5;3;1;0;1;0;1;0;0;1;7;18;6;9;1;9;16;18;54;46;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;2.76;3.37;2.70;0.00;0.00;0.00;0.00;0.00;0.00;Myyrmäen jalkapallostadion
1398699000;Apr 28 2014 - 3:30pm;complete;2352;KTP;HIFK;N/A;N/A;0.00;0.00;2.43;1.50;2;0;2;2;2;0;23,44;;7;1;3;0;2;0;2;1;1;1;12;3;4;3;8;0;21;21;59;41;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Arto Tolsa Areena
1399219200;May 04 2014 - 4:00pm;complete;512;JIPPO;Jazz;N/A;N/A;3.00;0.00;0.92;1.29;0;1;1;0;0;0;;75;-1;-1;2;0;4;1;1;1;2;3;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0.00;0.00;0.00;0.00;0.50;0;0;0;0;0;0;0;0;50;0.00;2.00;2.32;3.23;3.41;0.00;0.00;0.00;0.00;0.00;0.00;Joensuun Keskuskenttä
1399303800;May 05 2014 - 3:30pm;complete;778;HIFK;Ilves;N/A;N/A;0.00;0.00;2.23;1.54;2;0;2;0;0;0;49,66;;2;5;3;0;2;0;3;0;2;0;7;6;2;1;5;5;15;12;50;50;0.00;0.00;0.00;0.00;1.50;50;50;50;0;0;50;50;0;50;3.00;1.00;2.79;3.29;2.68;0.00;0.00;0.00;0.00;0.00;0.00;Telia 5G -areena
1399390200;May 06 2014 - 3:30pm;complete;1084;Haka;Oulu;N/A;N/A;3.00;3.00;1.93;1.54;0;0;0;0;0;0;;;4;1;2;0;1;0;0;2;0;1;4;11;2;0;2;11;8;19;59;41;0.00;0.00;0.00;0.00;1.50;0;50;0;0;0;0;50;50;50;13.00;6.00;1.45;4.49;8.15;0.00;0.00;0.00;0.00;0.00;0.00;Tehtaan kenttä
1399476600;May 07 2014 - 3:30pm;complete;1853;KTP;PK-35 Vantaa;N/A;N/A;3.00;0.00;2.43;1.86;2;1;3;2;2;0;4,39;74;6;5;1;0;5;0;1;0;3;2;10;8;3;2;7;6;17;21;47;53;0.00;0.00;0.00;0.00;1.00;0;50;0;0;0;50;50;0;0;7.00;3.00;2.06;3.51;3.79;0.00;0.00;0.00;0.00;0.00;0.00;Arto Tolsa Areena
1399476600;May 07 2014 - 3:30pm;complete;1503;JJK;Viikingit;N/A;N/A;0.00;0.00;1.43;0.14;0;0;0;0;0;0;;;5;4;2;0;4;0;1;1;2;2;16;11;6;6;10;5;12;23;54;46;0.00;0.00;0.00;0.00;0.50;0;0;0;0;0;0;0;0;50;0.00;3.00;2.15;3.39;3.63;0.00;0.00;0.00;0.00;0.00;0.00;Harjun stadion
