timestamp;date_GMT;status;attendance;home_team_name;away_team_name;referee;Game Week;Pre-Match PPG (Home);Pre-Match PPG (Away);home_ppg;away_ppg;home_team_goal_count;away_team_goal_count;total_goal_count;total_goals_at_half_time;home_team_goal_count_half_time;away_team_goal_count_half_time;home_team_goal_timings;away_team_goal_timings;home_team_corner_count;away_team_corner_count;home_team_yellow_cards;home_team_red_cards;away_team_yellow_cards;away_team_red_cards;home_team_first_half_cards;home_team_second_half_cards;away_team_first_half_cards;away_team_second_half_cards;home_team_shots;away_team_shots;home_team_shots_on_target;away_team_shots_on_target;home_team_shots_off_target;away_team_shots_off_target;home_team_fouls;away_team_fouls;home_team_possession;away_team_possession;Home Team Pre-Match xG;Away Team Pre-Match xG;team_a_xg;team_b_xg;average_goals_per_match_pre_match;btts_percentage_pre_match;over_15_percentage_pre_match;over_25_percentage_pre_match;over_35_percentage_pre_match;over_45_percentage_pre_match;over_15_HT_FHG_percentage_pre_match;over_05_HT_FHG_percentage_pre_match;over_15_2HG_percentage_pre_match;over_05_2HG_percentage_pre_match;average_corners_per_match_pre_match;average_cards_per_match_pre_match;odds_ft_home_team_win;odds_ft_draw;odds_ft_away_team_win;odds_ft_over15;odds_ft_over25;odds_ft_over35;odds_ft_over45;odds_btts_yes;odds_btts_no;stadium_name
1394280000;Mar 08 2014 - 12:00pm;complete;1300;Atlantas;Dainava;N/A;1;0.00;0.00;2.17;0.06;6;0;6;3;3;0;16,29,43,70,72,80;;9;2;0;0;1;0;0;0;0;1;26;2;12;2;14;0;18;12;70;30;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Klaipėdos centrinio stadiono atsarginė aikštė
1394359200;Mar 09 2014 - 10:00am;complete;1050;Ekranas;Kruoja;N/A;1;0.00;0.00;1.39;1.83;1;2;3;1;0;1;83;24,90'4;5;5;1;0;2;0;0;1;1;1;5;5;4;1;1;4;16;22;48;52;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Panevėžio futbolo akademijos stadionas
1394366400;Mar 09 2014 - 12:00pm;complete;1500;Sūduva;Banga;N/A;1;0.00;0.00;1.39;1.06;0;1;1;0;0;0;;68;13;2;3;0;1;0;1;2;1;0;9;3;2;1;7;2;16;11;57;43;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;ARVI futbolo arena (Marijampolė)
1394377200;Mar 09 2014 - 3:00pm;complete;2500;Žalgiris;Šiauliai;N/A;1;0.00;0.00;2.67;0.89;3;1;4;3;2;1;16,45,56;26;13;4;1;0;1;0;0;1;1;0;13;7;4;4;9;3;20;14;54;46;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Vilniaus LFF stadionas
1394469000;Mar 10 2014 - 4:30pm;complete;1500;Trakai;Granitas Klaipėda;N/A;1;0.00;0.00;1.89;0.94;2;0;2;0;0;0;69,71;;5;4;2;0;2;0;2;0;1;1;13;6;6;3;7;3;12;28;51;49;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Vilniaus LFF stadionas
1394877600;Mar 15 2014 - 10:00am;complete;600;Granitas Klaipėda;Atlantas;N/A;2;0.00;0.00;1.11;1.44;2;2;4;2;0;2;48,71;24,3;6;3;4;0;2;0;3;1;1;1;6;11;2;5;4;6;22;25;46;54;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Klaipėdos centrinio stadiono atsarginė aikštė
1394892000;Mar 15 2014 - 2:00pm;complete;600;Banga;Trakai;N/A;2;0.00;0.00;0.61;1.61;1;0;1;1;1;0;14;;5;9;1;0;2;0;0;1;1;1;3;8;0;1;3;7;17;13;42;58;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Gargždų miesto stadionas
1394964000;Mar 16 2014 - 10:00am;complete;300;Šiauliai;Kruoja;N/A;2;0.00;3.00;1.33;1.83;1;1;2;1;0;1;62;10;5;6;3;0;2;1;0;3;1;2;8;8;3;2;5;6;15;12;52;48;0.00;0.00;0.00;0.00;1.50;50;50;50;0;0;0;50;50;50;5.00;2.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Šiaulių m. savivaldybes stadionas
1394971200;Mar 16 2014 - 12:00pm;complete;250;Dainava;Ekranas;N/A;2;0.00;0.00;0.44;1.11;0;3;3;0;0;0;;51,69,79;1;14;2;0;3;0;1;1;1;2;4;11;2;4;2;7;15;10;31;69;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Nacionalinės futbolo akademijos stadionas
1394985600;Mar 16 2014 - 4:00pm;complete;1000;Žalgiris;Sūduva;N/A;2;3.00;0.00;2.67;2.06;8;1;9;6;5;1;17,21,26,29,33,71,81,86;8;7;6;1;0;0;0;0;1;0;0;12;4;7;1;5;3;7;12;54;46;0.00;0.00;0.00;0.00;2.00;50;50;50;50;0;50;50;0;50;13.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Vilniaus LFF stadionas
1395414000;Mar 21 2014 - 3:00pm;complete;1500;Atlantas;Banga;N/A;3;3.00;3.00;2.17;1.06;0;0;0;0;0;0;;;9;4;5;0;2;2;1;4;1;3;15;1;5;0;10;1;26;25;51;49;0.00;0.00;0.00;0.00;3.50;0;50;50;50;50;50;50;50;100;11.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Klaipėdos centrinio stadiono atsarginė aikštė
1395421200;Mar 21 2014 - 5:00pm;complete;2500;Trakai;Žalgiris;N/A;3;3.00;0.00;1.89;2.00;1;1;2;1;0;1;66;8;4;4;4;0;3;0;3;1;2;1;13;12;4;6;9;6;12;20;65;35;0.00;0.00;0.00;0.00;1.00;0;50;0;0;0;0;0;50;50;5.00;2.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Vilniaus LFF stadionas
1395482400;Mar 22 2014 - 10:00am;complete;900;Sūduva;Šiauliai;N/A;3;0.00;0.00;1.39;0.89;2;0;2;0;0;0;47,65;;4;4;3;0;2;0;0;3;1;1;7;5;3;0;4;5;32;19;46;54;0.00;0.00;0.00;0.00;2.50;50;50;50;50;0;50;50;0;100;17.00;4.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;ARVI futbolo arena (Marijampolė)
1395489600;Mar 22 2014 - 12:00pm;complete;650;Ekranas;Granitas Klaipėda;N/A;3;0.00;0.00;1.39;0.94;1;1;2;1;1;0;32;83;5;4;2;0;2;0;1;1;2;0;9;11;3;4;6;7;14;17;53;47;0.00;0.00;0.00;0.00;2.50;50;100;50;0;0;0;50;100;100;9.00;3.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Panevėžio futbolo akademijos stadionas
1395568800;Mar 23 2014 - 10:00am;complete;130;Kruoja;Dainava;N/A;3;0.00;0.00;1.83;0.06;4;0;4;2;2;0;9,14,53,82;;19;2;1;0;1;0;0;1;1;0;27;0;10;0;17;0;13;14;67;33;0.00;0.00;0.00;0.00;3.00;0;50;50;50;50;50;50;50;50;2.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Panevėžio futbolo akademijos stadionas
1395759600;Mar 25 2014 - 3:00pm;complete;600;Banga;Ekranas;N/A;4;3.00;3.00;0.61;1.11;0;0;0;0;0;0;;;4;0;1;0;1;0;1;0;1;0;14;7;6;3;8;4;24;20;45;55;0.00;0.00;0.00;0.00;2.00;0;50;50;0;0;0;50;50;50;19.00;4.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Gargždų miesto stadionas
1395766800;Mar 25 2014 - 5:00pm;complete;2500;Žalgiris;Atlantas;N/A;4;3.00;1.00;2.67;1.44;4;0;4;3;3;0;9,25,40,52;;3;8;2;0;4;0;1;1;2;2;5;7;2;1;3;6;19;14;53;47;0.00;0.00;0.00;0.00;5.25;100;100;100;100;25;100;100;75;100;13.00;3.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Vilniaus LFF stadionas
1395846000;Mar 26 2014 - 3:00pm;complete;350;Granitas Klaipėda;Kruoja;N/A;4;1.00;2.00;1.11;1.83;2;2;4;3;2;1;14,26;3,56;10;3;3;0;4;0;0;3;2;2;7;3;2;1;5;2;15;11;55;45;0.00;0.00;0.00;0.00;3.25;100;100;75;50;0;50;100;75;100;11.50;6.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Klaipėdos centrinio stadiono atsarginė aikštė
1395853200;Mar 26 2014 - 5:00pm;complete;700;Sūduva;Trakai;N/A;4;1.50;0.00;1.39;1.61;0;1;1;0;0;0;;90'4;7;2;4;1;1;0;3;2;1;0;10;8;3;4;7;4;23;12;51;49;0.00;0.00;0.00;0.00;1.25;0;25;0;0;0;0;50;25;50;17.50;5.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;ARVI futbolo arena (Marijampolė)
1395925200;Mar 27 2014 - 1:00pm;complete;250;Šiauliai;Dainava;N/A;4;1.00;0.00;1.33;0.06;5;0;5;4;4;0;17,29,42,44,62;;11;3;0;0;2;0;0;0;1;1;19;6;9;3;10;3;8;20;67;33;0.00;0.00;0.00;0.00;3.50;50;100;50;50;25;50;100;50;100;7.00;4.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Šiaulių m. savivaldybes stadionas
1396098000;Mar 29 2014 - 1:00pm;complete;1450;Ekranas;Žalgiris;N/A;5;0.50;1.00;1.39;2.00;0;0;0;0;0;0;;;1;7;2;0;4;0;1;1;0;4;2;19;0;6;2;13;15;19;28;72;0.00;0.00;0.00;0.00;2.25;100;100;25;0;0;0;100;25;100;9.00;4.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Panevėžio futbolo akademijos stadionas
1396108800;Mar 29 2014 - 4:00pm;complete;1100;Atlantas;Sūduva;N/A;5;2.00;0.00;2.17;2.06;1;0;1;1;1;0;25;;8;4;4;0;4;0;1;3;1;3;8;4;4;1;4;3;24;25;43;57;0.00;0.00;0.00;0.00;6.00;50;75;75;75;75;75;75;75;75;15.00;2.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Klaipėdos centrinio stadiono atsarginė aikštė
1396170000;Mar 30 2014 - 9:00am;complete;300;Dainava;Granitas Klaipėda;N/A;5;0.00;0.50;0.44;0.94;0;5;5;2;0;2;;19,37,76,86,89;2;11;3;0;0;0;0;3;0;0;10;20;4;8;6;12;19;15;35;65;0.00;0.00;0.00;0.00;2.50;25;100;50;0;0;0;25;75;100;5.00;4.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Nacionalinės futbolo akademijos stadionas
1396177200;Mar 30 2014 - 11:00am;complete;150;Kruoja;Banga;N/A;5;3.00;2.00;1.83;1.06;0;1;1;0;0;0;;51;0;3;2;0;1;0;1;1;0;1;4;10;2;4;2;6;21;16;48;52;0.00;0.00;0.00;0.00;2.25;0;50;50;50;0;50;50;50;75;22.00;3.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Panevėžio futbolo akademijos stadionas
1396184400;Mar 30 2014 - 1:00pm;complete;1000;Trakai;Šiauliai;N/A;5;2.00;0.00;1.89;0.89;2;1;3;1;1;0;13,55;84;6;4;3;0;2;0;2;1;2;0;9;9;5;5;4;4;15;14;44;56;0.00;0.00;0.00;0.00;2.50;50;100;25;25;0;25;50;50;100;8.50;4.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Vilniaus LFF stadionas
