timestamp;date_GMT;status;attendance;home_team_name;away_team_name;referee;Game Week;Pre-Match PPG (Home);Pre-Match PPG (Away);home_ppg;away_ppg;home_team_goal_count;away_team_goal_count;total_goal_count;total_goals_at_half_time;home_team_goal_count_half_time;away_team_goal_count_half_time;home_team_goal_timings;away_team_goal_timings;home_team_corner_count;away_team_corner_count;home_team_yellow_cards;home_team_red_cards;away_team_yellow_cards;away_team_red_cards;home_team_first_half_cards;home_team_second_half_cards;away_team_first_half_cards;away_team_second_half_cards;home_team_shots;away_team_shots;home_team_shots_on_target;away_team_shots_on_target;home_team_shots_off_target;away_team_shots_off_target;home_team_fouls;away_team_fouls;home_team_possession;away_team_possession;Home Team Pre-Match xG;Away Team Pre-Match xG;team_a_xg;team_b_xg;average_goals_per_match_pre_match;btts_percentage_pre_match;over_15_percentage_pre_match;over_25_percentage_pre_match;over_35_percentage_pre_match;over_45_percentage_pre_match;over_15_HT_FHG_percentage_pre_match;over_05_HT_FHG_percentage_pre_match;over_15_2HG_percentage_pre_match;over_05_2HG_percentage_pre_match;average_corners_per_match_pre_match;average_cards_per_match_pre_match;odds_ft_home_team_win;odds_ft_draw;odds_ft_away_team_win;odds_ft_over15;odds_ft_over25;odds_ft_over35;odds_ft_over45;odds_btts_yes;odds_btts_no;stadium_name
1375466400;Aug 02 2013 - 6:00pm;complete;51445;Ajax;Roda JC;N/A;1;0.00;0.00;2.47;0.76;3;0;3;2;2;0;8,31,83;;5;1;2;0;1;0;1;1;0;1;14;4;6;3;8;1;4;5;64;36;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;1.15;8.77;9.99;0.00;0.00;0.00;0.00;0.00;0.00;Amsterdam ArenA (Amsterdam)
1375548300;Aug 03 2013 - 4:45pm;complete;13120;ADO Den Haag;PSV;N/A;1;0.00;0.00;1.65;1.35;2;3;5;4;1;3;44,90'3;12,27,33;7;2;3;0;1;0;3;0;1;0;10;8;6;3;4;5;21;15;53;47;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;6.85;4.87;1.47;0.00;0.00;0.00;0.00;0.00;0.00;Cars Jeans Stadion
1375551900;Aug 03 2013 - 5:45pm;complete;10200;NEC;Groningen;N/A;1;0.00;0.00;1.06;1.21;1;4;5;3;1;2;45;10,27,54,90;3;6;1;0;2;0;0;1;1;1;8;5;3;2;5;3;13;16;42;58;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;2.29;3.54;3.22;0.00;0.00;0.00;0.00;0.00;0.00;Goffertstadion
1375551900;Aug 03 2013 - 5:45pm;complete;28700;Twente;RKC Waalwijk;N/A;1;0.00;0.00;2.06;0.71;0;0;0;0;0;0;;;9;1;0;0;2;0;0;0;0;2;24;4;9;0;15;4;11;16;76;24;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;1.43;4.68;8.42;0.00;0.00;0.00;0.00;0.00;0.00;De Grolsch Veste
1375555500;Aug 03 2013 - 6:45pm;complete;19500;Heerenveen;AZ;N/A;1;0.00;0.00;1.89;0.63;4;2;6;1;1;0;22,54,56,90'2;50,88;11;6;1;1;2;0;0;2;2;0;14;12;6;2;8;10;15;8;38;62;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;2.63;3.70;2.63;0.00;0.00;0.00;0.00;0.00;0.00;Abe Lenstra Stadion
1375612200;Aug 04 2013 - 10:30am;complete;9085;Cambuur;NAC Breda;N/A;1;0.00;0.00;1.88;0.65;0;0;0;0;0;0;;;9;5;0;0;0;0;0;0;0;0;6;7;2;2;4;5;9;11;53;47;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;2.24;3.61;3.26;0.00;0.00;0.00;0.00;0.00;0.00;Cambuurstadion
1375619400;Aug 04 2013 - 12:30pm;complete;14551;Utrecht;Go Ahead Eagles;N/A;1;0.00;0.00;2.00;0.71;1;1;2;1;1;0;15;46;5;5;2;0;0;0;1;1;0;0;12;6;6;3;6;3;20;16;43;57;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;1.59;4.33;5.92;0.00;0.00;0.00;0.00;0.00;0.00;Stadion Galgenwaard
1375619400;Aug 04 2013 - 12:30pm;complete;13778;Vitesse;Heracles;N/A;1;0.00;0.00;1.67;1.18;3;1;4;2;2;0;27,31,81;90'1;7;7;3;0;4;0;1;2;1;3;14;10;7;8;7;2;12;25;58;42;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;1.58;4.42;5.88;0.00;0.00;0.00;0.00;0.00;0.00;GelreDome
1375626600;Aug 04 2013 - 2:30pm;complete;11324;PEC Zwolle;Feyenoord;N/A;1;0.00;0.00;1.29;1.71;2;1;3;0;0;0;65,90'2;87;5;5;1;0;2;0;0;1;1;1;12;7;3;2;9;5;15;21;41;59;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;4.12;3.92;1.88;0.00;0.00;0.00;0.00;0.00;0.00;MAC³PARK Stadion
1376071200;Aug 09 2013 - 6:00pm;complete;12335;Roda JC;Cambuur;N/A;2;0.00;0.00;0.94;0.41;2;0;2;1;1;0;35,9;;2;8;3;0;1;0;0;3;0;1;7;10;3;5;4;5;19;17;44;56;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;1.91;3.77;4.15;0.00;0.00;0.00;0.00;0.00;0.00;Parkstad Limburg Stadion
