timestamp;date_GMT;status;attendance;home_team_name;away_team_name;referee;Game Week;Pre-Match PPG (Home);Pre-Match PPG (Away);home_ppg;away_ppg;home_team_goal_count;away_team_goal_count;total_goal_count;total_goals_at_half_time;home_team_goal_count_half_time;away_team_goal_count_half_time;home_team_goal_timings;away_team_goal_timings;home_team_corner_count;away_team_corner_count;home_team_yellow_cards;home_team_red_cards;away_team_yellow_cards;away_team_red_cards;home_team_first_half_cards;home_team_second_half_cards;away_team_first_half_cards;away_team_second_half_cards;home_team_shots;away_team_shots;home_team_shots_on_target;away_team_shots_on_target;home_team_shots_off_target;away_team_shots_off_target;home_team_fouls;away_team_fouls;home_team_possession;away_team_possession;Home Team Pre-Match xG;Away Team Pre-Match xG;team_a_xg;team_b_xg;average_goals_per_match_pre_match;btts_percentage_pre_match;over_15_percentage_pre_match;over_25_percentage_pre_match;over_35_percentage_pre_match;over_45_percentage_pre_match;over_15_HT_FHG_percentage_pre_match;over_05_HT_FHG_percentage_pre_match;over_15_2HG_percentage_pre_match;over_05_2HG_percentage_pre_match;average_corners_per_match_pre_match;average_cards_per_match_pre_match;odds_ft_home_team_win;odds_ft_draw;odds_ft_away_team_win;odds_ft_over15;odds_ft_over25;odds_ft_over35;odds_ft_over45;odds_btts_yes;odds_btts_no;stadium_name
1376680500;Aug 16 2013 - 7:15pm;complete;N/A;Paços de Ferreira;Sporting Braga;Bruno Miguel Duarte Paixão;1;0.00;0.00;0.93;0.87;0;2;2;1;0;1;;26,65;3;3;2;0;0;0;0;2;0;0;8;10;1;4;7;6;20;17;53;47;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Estádio Dr. Machado de Matos (Felgueiras)
1376758800;Aug 17 2013 - 5:00pm;complete;N/A;GD Estoril Praia;CD Nacional;Duarte Nuno Pereira Gomes;1;0.00;0.00;1.53;1.20;3;1;4;3;2;1;45,45'3,47;30;6;7;2;0;4;0;1;1;1;3;14;11;7;3;7;8;8;8;48;52;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;2.40;3.33;3.20;0.00;0.00;0.00;0.00;0.00;0.00;Estádio António Coimbra da Mota (Estoril)
1376766900;Aug 17 2013 - 7:15pm;complete;N/A;Vitória Guimarães;SC Olhanense;Olegário Faustino Manuel Benquerença Bartolo;1;0.00;0.00;1.20;0.40;2;0;2;0;0;0;50,73;;5;1;2;0;2;1;1;1;1;2;9;9;3;2;6;7;21;19;47;53;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;2.06;3.41;3.96;0.00;0.00;0.00;0.00;0.00;0.00;Estádio Dom Afonso Henriques (Guimarães)
1376837100;Aug 18 2013 - 2:45pm;complete;N/A;Sporting CP;FC Arouca;Rui Manuel Gomes Costa;1;0.00;0.00;2.27;0.93;5;1;6;3;2;1;30,38,66,70,86;19;6;4;1;0;3;0;0;1;2;1;8;9;2;7;6;2;22;15;56;44;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;1.44;4.49;8.75;0.00;0.00;0.00;0.00;0.00;0.00;Estádio José Alvalade (Lisboa)
1376838000;Aug 18 2013 - 3:00pm;complete;N/A;Belenenses;Rio Ave FC;Rui Silva;1;0.00;0.00;1.33;1.40;0;3;3;1;0;1;;4,56,89;2;7;2;0;3;0;0;2;1;2;13;10;4;3;9;7;16;18;47;53;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;2.85;3.18;2.74;0.00;0.00;0.00;0.00;0.00;0.00;Estádio do Restelo (Lisboa)
1376838000;Aug 18 2013 - 3:00pm;complete;N/A;Gil Vicente;Associação Académica de Coimbra OAF;Pedro Proença Oliveira Alves Garcia;1;0.00;0.00;1.47;1.07;2;0;2;1;1;0;6,90'4;;0;15;4;1;3;0;3;2;1;2;4;23;2;16;2;7;22;12;45;55;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;2.54;3.23;3.06;0.00;0.00;0.00;0.00;0.00;0.00;Estádio Cidade de Barcelos (Barcelos)
1376844300;Aug 18 2013 - 4:45pm;complete;N/A;CS Marítimo;Benfica;Manuel Jorge Neves Moreira de Sousa;1;0.00;0.00;2.00;2.33;2;1;3;1;1;0;45'2,78;51;3;10;1;0;4;0;1;0;2;2;6;11;2;6;4;5;16;15;45;55;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;8.85;4.55;1.43;0.00;0.00;0.00;0.00;0.00;0.00;Estádio dos Barreiros (Funchal (Ilha da Madeira))
1376852400;Aug 18 2013 - 7:00pm;complete;N/A;Vitória Setúbal;Porto;João Carlos Santos Capela;1;0.00;0.00;1.73;1.40;1;3;4;1;1;0;14;49,61,89;6;10;4;1;3;0;2;3;1;2;5;13;2;6;3;7;13;12;32;68;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;9.99;5.60;1.29;0.00;0.00;0.00;0.00;0.00;0.00;Estádio do Bonfim (Setúbal)
1377363600;Aug 24 2013 - 5:00pm;complete;N/A;SC Olhanense;Paços de Ferreira;Hugo Filipe Ferreira de Campos Moreira Miguel;2;0.00;0.00;1.20;0.67;1;0;1;1;1;0;16;;3;4;4;1;3;0;3;2;1;2;9;15;3;2;6;13;23;9;52;48;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;2.80;3.17;2.80;0.00;0.00;0.00;0.00;0.00;0.00;Estádio Do Algarve (São João da Venda)
1377371700;Aug 24 2013 - 7:15pm;complete;N/A;Associação Académica de Coimbra OAF;Sporting CP;Artur Manuel Ribeiro Soares Dias;2;0.00;0.00;1.40;2.20;0;4;4;2;0;2;;23,42,54,56;2;6;2;1;0;0;1;2;0;0;7;8;1;5;6;3;9;19;49;51;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;4.50;3.50;1.92;0.00;0.00;0.00;0.00;0.00;0.00;Estádio EFAPEL (Coimbra)
