timestamp;date_GMT;status;attendance;home_team_name;away_team_name;referee;Game Week;Pre-Match PPG (Home);Pre-Match PPG (Away);home_ppg;away_ppg;home_team_goal_count;away_team_goal_count;total_goal_count;total_goals_at_half_time;home_team_goal_count_half_time;away_team_goal_count_half_time;home_team_goal_timings;away_team_goal_timings;home_team_corner_count;away_team_corner_count;home_team_yellow_cards;home_team_red_cards;away_team_yellow_cards;away_team_red_cards;home_team_first_half_cards;home_team_second_half_cards;away_team_first_half_cards;away_team_second_half_cards;home_team_shots;away_team_shots;home_team_shots_on_target;away_team_shots_on_target;home_team_shots_off_target;away_team_shots_off_target;home_team_fouls;away_team_fouls;home_team_possession;away_team_possession;Home Team Pre-Match xG;Away Team Pre-Match xG;team_a_xg;team_b_xg;average_goals_per_match_pre_match;btts_percentage_pre_match;over_15_percentage_pre_match;over_25_percentage_pre_match;over_35_percentage_pre_match;over_45_percentage_pre_match;over_15_HT_FHG_percentage_pre_match;over_05_HT_FHG_percentage_pre_match;over_15_2HG_percentage_pre_match;over_05_2HG_percentage_pre_match;average_corners_per_match_pre_match;average_cards_per_match_pre_match;odds_ft_home_team_win;odds_ft_draw;odds_ft_away_team_win;odds_ft_over15;odds_ft_over25;odds_ft_over35;odds_ft_over45;odds_btts_yes;odds_btts_no;stadium_name
1396706400;Apr 05 2014 - 2:00pm;complete;1829;Degerfors;Varberg;N/A;1;0.00;0.00;1.53;1.00;0;0;0;0;0;0;;;-1;-1;1;1;3;0;1;1;3;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;2.04;3.62;3.79;0.00;0.00;0.00;0.00;0.00;0.00;Stora Valla
1396706400;Apr 05 2014 - 2:00pm;complete;2312;Husqvarna;Landskrona;N/A;1;0.00;0.00;0.87;0.93;3;1;4;3;2;1;5,25,80;31;1;5;1;0;3;1;0;1;2;2;8;10;4;6;4;4;19;14;47;53;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;2.56;3.39;2.90;0.00;0.00;0.00;0.00;0.00;0.00;Vapenvallen
1396706400;Apr 05 2014 - 2:00pm;complete;3122;GIF Sundsvall;Jönköpings Södra;N/A;1;0.00;0.00;2.53;1.47;1;0;1;0;0;0;70;;4;4;2;0;1;0;0;2;0;1;7;9;4;6;3;3;12;16;51;49;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;1.69;3.96;5.32;0.00;0.00;0.00;0.00;0.00;0.00;Norrporten Arena (Sundsvall)
1396792800;Apr 06 2014 - 2:00pm;complete;2498;Värnamo;GAIS;N/A;1;0.00;0.00;1.73;0.87;1;1;2;1;1;0;16;90'4;-1;-1;1;0;2;0;0;1;1;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;3.41;3.54;2.20;0.00;0.00;0.00;0.00;0.00;0.00;Finnvedsvallen
1396796400;Apr 06 2014 - 3:00pm;complete;2787;Syrianska;Sirius;N/A;1;0.00;0.00;1.60;1.80;1;5;6;2;0;2;86;22,35,50,58,73;2;6;4;1;0;0;5;0;0;0;7;9;3;3;4;6;13;6;39;61;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;4.53;3.64;1.87;0.00;0.00;0.00;0.00;0.00;0.00;Södertälje Fotbollsarena
1396796400;Apr 06 2014 - 3:00pm;complete;1060;Ljungskile;Östersunds FK;N/A;1;0.00;0.00;2.40;1.40;1;0;1;0;0;0;65;;5;2;0;0;2;0;0;0;1;1;10;2;3;1;7;1;16;14;52;48;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;2.31;3.43;3.27;0.00;0.00;0.00;0.00;0.00;0.00;Uddevalla Arena
1396800900;Apr 06 2014 - 4:15pm;complete;632;Ängelholm;Öster;N/A;1;0.00;0.00;1.20;0.93;1;4;5;2;1;1;29;11,48,89,90'1;4;2;1;0;1;0;0;1;1;0;6;12;2;6;4;6;8;13;42;58;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;3.36;3.44;2.26;0.00;0.00;0.00;0.00;0.00;0.00;Olympia
1396891200;Apr 07 2014 - 5:20pm;complete;5614;Assyriska;Hammarby;N/A;1;0.00;0.00;0.53;2.00;0;1;1;0;0;0;;90'3;2;8;1;1;3;0;1;1;2;1;11;7;6;3;5;4;15;15;46;54;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;3.58;3.49;2.15;0.00;0.00;0.00;0.00;0.00;0.00;Södertälje Fotbollsarena
1397236800;Apr 11 2014 - 5:20pm;complete;2774;Öster;Assyriska;N/A;2;0.00;0.00;1.20;1.27;1;2;3;1;0;1;90'2;30,55;7;2;4;0;5;0;2;2;1;4;6;5;2;3;4;2;12;16;59;41;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;1.54;4.25;6.77;0.00;0.00;0.00;0.00;0.00;0.00;Myresjöhus Arena
1397307600;Apr 12 2014 - 1:00pm;complete;2789;Östersunds FK;Värnamo;N/A;2;0.00;0.00;1.60;0.87;1;3;4;4;1;3;28;8,19,29;16;6;1;0;1;0;0;1;0;1;19;2;5;1;14;1;10;11;72;28;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;2.14;3.46;3.65;0.00;0.00;0.00;0.00;0.00;0.00;Jämtkraft Arena
