timestamp;date_GMT;status;attendance;home_team_name;away_team_name;referee;Game Week;Pre-Match PPG (Home);Pre-Match PPG (Away);home_ppg;away_ppg;home_team_goal_count;away_team_goal_count;total_goal_count;total_goals_at_half_time;home_team_goal_count_half_time;away_team_goal_count_half_time;home_team_goal_timings;away_team_goal_timings;home_team_corner_count;away_team_corner_count;home_team_yellow_cards;home_team_red_cards;away_team_yellow_cards;away_team_red_cards;home_team_first_half_cards;home_team_second_half_cards;away_team_first_half_cards;away_team_second_half_cards;home_team_shots;away_team_shots;home_team_shots_on_target;away_team_shots_on_target;home_team_shots_off_target;away_team_shots_off_target;home_team_fouls;away_team_fouls;home_team_possession;away_team_possession;Home Team Pre-Match xG;Away Team Pre-Match xG;team_a_xg;team_b_xg;average_goals_per_match_pre_match;btts_percentage_pre_match;over_15_percentage_pre_match;over_25_percentage_pre_match;over_35_percentage_pre_match;over_45_percentage_pre_match;over_15_HT_FHG_percentage_pre_match;over_05_HT_FHG_percentage_pre_match;over_15_2HG_percentage_pre_match;over_05_2HG_percentage_pre_match;average_corners_per_match_pre_match;average_cards_per_match_pre_match;odds_ft_home_team_win;odds_ft_draw;odds_ft_away_team_win;odds_ft_over15;odds_ft_over25;odds_ft_over35;odds_ft_over45;odds_btts_yes;odds_btts_no;stadium_name
1409335200;Aug 29 2014 - 6:00pm;complete;N/A;Balıkesirspor;Akhisar Belediyespor;Kutluhan Bilgiç;1;0.00;0.00;0.94;0.88;1;2;3;2;1;1;36;6,77;3;2;0;0;3;0;0;0;2;1;5;8;1;3;4;5;17;26;45;55;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;2.03;3.43;4.05;0.00;0.00;0.00;0.00;0.00;0.00;Balıkesir Atatürk Stadyumu (Balıkesir)
1409335200;Aug 29 2014 - 6:00pm;complete;N/A;Rizespor;Gençlerbirliği;Volkan Bayarslan;1;0.00;0.00;0.82;0.94;1;1;2;1;0;1;61;31;5;7;1;0;6;0;0;1;2;4;11;3;6;0;5;3;14;25;49;51;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;2.31;3.37;3.32;0.00;0.00;0.00;0.00;0.00;0.00;Çaykur Didi Stadyumu (Rize)
1409412600;Aug 30 2014 - 3:30pm;complete;N/A;Eskişehirspor;Konyaspor;Abdulkadir Bitigen;1;0.00;0.00;1.29;0.88;2;1;3;1;0;1;65,76;14;3;3;2;0;1;0;1;1;1;0;8;9;4;6;4;3;18;21;59;41;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;2.12;3.39;3.79;0.00;0.00;0.00;0.00;0.00;0.00;Eskişehir Atatürk Stadyumu (Eskişehir)
1409414400;Aug 30 2014 - 4:00pm;complete;N/A;Bursaspor;Galatasaray;Halis Özkahya;1;0.00;0.00;2.06;2.06;0;2;2;0;0;0;;52,9;3;4;2;0;4;0;1;1;1;3;8;6;2;3;6;3;13;12;50;50;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;4.07;3.54;1.99;0.00;0.00;0.00;0.00;0.00;0.00;Bursa Atatürk Stadyumu (Bursa)
1409421600;Aug 30 2014 - 6:00pm;complete;N/A;İstanbul Başakşehir;Kasımpaşa;Cüneyt Çakιr;1;0.00;0.00;1.88;0.76;1;1;2;2;1;1;35;44;4;3;1;1;2;0;1;1;0;2;5;7;2;4;3;3;21;14;36;64;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;2.66;3.39;2.78;0.00;0.00;0.00;0.00;0.00;0.00;Başakşehir Fatih Terim Stadyumu (İstanbul)
1409424600;Aug 30 2014 - 6:50pm;complete;N/A;Mersin İdmanyurdu;Beşiktaş;Tolga Ozkalfa;1;0.00;0.00;1.65;2.18;0;1;1;1;0;1;;43;2;5;2;0;2;0;0;2;1;1;10;9;3;5;7;4;18;11;52;48;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;4.10;3.52;1.99;0.00;0.00;0.00;0.00;0.00;0.00;Mersin Stadyumu (Mersin)
1409499000;Aug 31 2014 - 3:30pm;complete;N/A;Kayseri Erciyesspor;Trabzonspor;Ali Palabiyik;1;0.00;0.00;0.88;1.06;0;0;0;0;0;0;;;4;6;1;0;2;0;0;1;1;1;11;4;3;3;8;1;15;15;57;43;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;2.96;3.31;2.56;0.00;0.00;0.00;0.00;0.00;0.00;Kadir Has Şehir Stadı (Kayseri)
1409499000;Aug 31 2014 - 3:30pm;complete;N/A;Sivasspor;Gaziantepspor;Murat Özcan;1;0.00;0.00;1.06;1.12;1;2;3;0;0;0;52;72,78;8;1;0;0;3;0;0;0;0;3;16;4;2;1;14;3;11;14;57;43;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;1.99;3.61;3.98;0.00;0.00;0.00;0.00;0.00;0.00;4. Eylül Stadyumu (Sivas)
1409508000;Aug 31 2014 - 6:00pm;complete;N/A;Fenerbahçe;Karabükspor;Mustafa İlker Coşkun;1;0.00;0.00;2.47;0.35;3;2;5;2;1;1;8,53,81;35,67;8;5;2;0;3;0;1;1;2;1;10;6;5;2;5;4;9;12;62;38;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;1.47;4.66;7.35;0.00;0.00;0.00;0.00;0.00;0.00;Ülker Stadyumu Fenerbahçe Şükrü Saracoğlu Spor Kompleksi (İstanbul)
1410616800;Sep 13 2014 - 2:00pm;complete;N/A;Gençlerbirliği;Bursaspor;Yunus Yildirim;2;0.00;0.00;1.41;1.29;1;2;3;1;1;0;19;54,7;9;8;2;0;4;0;2;0;0;4;8;12;2;4;6;8;21;18;54;46;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;2.67;3.31;2.83;0.00;0.00;0.00;0.00;0.00;0.00;Ankara Ondokuz Mayıs Stadyumu (Ankara)
