campionato,mercato,partite,winrate_base,miglior_range,miglior_roi,range_robusto,roi_robusto,n_robusto,wr_robusto
argentina-prim-b-nacional,Over 0.5 HT (gol 1° tempo),4271,58.0,odd_2 4.20-4.25,4.5,odd_2 3.35-3.40,0.1,142,72.5
argentina-prim-b-nacional,Over 0.5 2T (gol 2° tempo),4271,67.5,odd_2 4.00-4.05,6.1,odd_2 3.35-3.40,2.8,142,80.3
argentina-prim-b-nacional,Over 1.5 2T (2+ gol 2° tempo),4271,31.4,odd_dog 6.00-6.05,8.4,odd_dog 3.70-3.75,-7.7,91,44.0
argentina-prim-b-nacional,Over 1.5 FT,4271,59.8,odd_2 3.35-3.40,22.2,odd_2 3.35-3.40,22.2,142,78.9
argentina-prim-b-nacional,Over 2.5 FT,4271,32.3,odd_2 3.35-3.40,26.4,odd_2 3.35-3.40,26.4,142,47.9
argentina-prim-b-nacional,Over 3.5 FT,4271,14.4,spread_fav_dog 2.20-2.25,32.3,odd_x 3.25-3.30,1.8,85,22.4
argentina-prim-b-nacional,BTTS Sì,4271,40.9,odd_1 2.80-2.85,39.3,odd_2 3.35-3.40,21.7,142,55.6
argentina-prim-b-nacional,Vittoria 1,4271,43.4,odd_2 2.40-2.45,25.9,odd_fav 2.40-2.45,13.5,180,43.9
argentina-prim-b-nacional,Pareggio X,4271,33.3,spread_fav_dog 1.05-1.10,53.3,odd_dog 4.20-4.25,31.8,91,44.0
argentina-prim-b-nacional,Vittoria 2,4271,23.3,spread_fav_dog 2.55-2.60,66.9,odd_1 1.85-1.90,15.1,138,27.5
argentina-primera-division,Over 0.5 HT (gol 1° tempo),4458,63.4,spread_fav_dog 2.85-2.90,16.4,odd_2 2.85-2.90,3.2,99,74.7
argentina-primera-division,Over 0.5 2T (gol 2° tempo),4458,71.1,odd_2 1.95-2.00,15.2,odd_fav 2.30-2.35,4.0,160,81.2
argentina-primera-division,Over 1.5 2T (2+ gol 2° tempo),4458,35.9,spread_fav_dog 2.60-2.65,24.7,odd_dog 3.45-3.50,0.0,84,47.6
argentina-primera-division,Over 1.5 FT,4458,65.4,odd_1 2.80-2.85,18.9,odd_2 2.95-3.00,5.2,111,73.0
argentina-primera-division,Over 2.5 FT,4458,39.0,spread_fav_dog 2.35-2.40,25.6,odd_x 2.80-2.85,6.7,118,37.3
argentina-primera-division,Over 3.5 FT,4458,19.2,odd_2 3.00-3.05,33.0,odd_dog 3.45-3.50,29.1,84,32.1
