colonna,range,inclusivo,min,max,n,winrate,profit_u,roi_pct,break_even_odd
odd_1,2.10-2.15,False,2.1000000000000005,2.150000000000001,87,0.7816091954022989,6.839999999999993,7.862068965517233,1.2794117647058822
odd_1,2.35-2.40,False,2.350000000000001,2.4000000000000012,99,0.7777777777777778,7.259999999999991,7.333333333333323,1.2857142857142856
odd_fav,2.40-2.45,False,2.4000000000000012,2.450000000000001,117,0.7606837606837606,5.819999999999993,4.974358974358969,1.3146067415730338
odd_1,1.95-2.00,False,1.9500000000000006,2.000000000000001,99,0.7575757575757576,4.499999999999993,4.545454545454538,1.32
odd_fav,2.35-2.40,False,2.350000000000001,2.4000000000000012,168,0.7559523809523809,7.259999999999984,4.321428571428561,1.3228346456692914
spread_fav_dog,1.00-1.05,False,1.0,1.05,127,0.7559055118110236,5.47999999999999,4.314960629921251,1.3229166666666667
odd_dog,3.60-3.65,False,3.599999999999998,3.6499999999999977,139,0.7482014388489209,4.519999999999989,3.251798561151071,1.3365384615384615
odd_fav,1.95-2.00,False,1.9500000000000006,2.000000000000001,136,0.7426470588235294,3.3799999999999883,2.48529411764705,1.3465346534653464
odd_fav,2.10-2.15,False,2.1000000000000005,2.150000000000001,122,0.7377049180327869,2.1999999999999886,1.8032786885245808,1.3555555555555554
odd_x,3.70-3.75,False,3.6999999999999957,3.7499999999999956,141,0.7375886524822695,2.519999999999989,1.7872340425531836,1.3557692307692308
odd_1,1.85-1.90,False,1.8500000000000005,1.9000000000000006,80,0.7375,1.4199999999999946,1.7749999999999932,1.3559322033898304
odd_fav,1.75-1.80,False,1.7500000000000004,1.8000000000000005,101,0.7326732673267327,1.1199999999999903,1.1089108910890992,1.364864864864865
odd_1,1.75-1.80,False,1.7500000000000004,1.8000000000000005,82,0.7317073170731707,0.7999999999999936,0.9756097560975532,1.3666666666666667
odd_fav,1.85-1.90,False,1.8500000000000005,1.9000000000000006,100,0.73,0.7399999999999913,0.7399999999999913,1.36986301369863
odd_dog,3.45-3.50,False,3.4499999999999984,3.4999999999999982,139,0.7266187050359713,0.37999999999998835,0.2733812949640204,1.3762376237623761
odd_1,2.00-2.05,False,2.000000000000001,2.0500000000000007,120,0.725,0.05999999999998806,0.049999999999990045,1.3793103448275863
odd_fav,2.25-2.30,False,2.250000000000001,2.3000000000000007,123,0.7235772357723578,-0.18000000000000682,-0.1463414634146397,1.3820224719101122
odd_x,3.40-3.45,False,3.399999999999997,3.4499999999999966,270,0.7185185185185186,-2.2800000000000153,-0.8444444444444501,1.3917525773195876
odd_x,3.45-3.50,False,3.4499999999999966,3.4999999999999964,177,0.7175141242937854,-1.7400000000000162,-0.9830508474576363,1.3937007874015748
odd_fav,2.45-2.50,True,2.450000000000001,2.500000000000001,132,0.7121212121212122,-2.2800000000000082,-1.7272727272727335,1.4042553191489362
odd_dog,3.40-3.45,False,3.3999999999999986,3.4499999999999984,222,0.7117117117117117,-3.960000000000015,-1.7837837837837904,1.4050632911392407
