colonna,range,min,max,n,winrate,profit_u,roi_pct,break_even_odd
odd_1,1.35-1.40,1.35,1.4000000000000001,53,0.9056603773584906,8.440000000000001,15.924528301886795,1.1041666666666667
odd_2,2.00-2.05,2.000000000000001,2.0500000000000007,31,0.9032258064516129,4.840000000000001,15.612903225806454,1.1071428571428572
odd_x,4.20-4.25,4.199999999999994,4.249999999999994,31,0.9032258064516129,4.840000000000001,15.612903225806454,1.1071428571428572
odd_dog,3.85-3.90,3.849999999999997,3.899999999999997,51,0.9019607843137255,7.880000000000001,15.450980392156865,1.108695652173913
odd_fav,1.50-1.55,1.5000000000000002,1.5500000000000003,60,0.9,9.120000000000001,15.200000000000003,1.1111111111111112
odd_x,3.90-3.95,3.899999999999995,3.949999999999995,59,0.8983050847457628,8.840000000000002,14.98305084745763,1.1132075471698113
odd_1,1.50-1.55,1.5000000000000002,1.5500000000000003,54,0.8888888888888888,7.440000000000001,13.77777777777778,1.125
odd_fav,1.35-1.40,1.35,1.4000000000000001,58,0.8793103448275862,7.280000000000001,12.551724137931036,1.1372549019607843
odd_dog,4.00-4.05,3.9999999999999964,4.049999999999996,39,0.8717948717948718,4.520000000000001,11.589743589743593,1.1470588235294117
spread_fav_dog,1.85-1.90,1.8500000000000008,1.9000000000000008,39,0.8717948717948718,4.520000000000001,11.589743589743593,1.1470588235294117
odd_fav,1.75-1.80,1.7500000000000004,1.8000000000000005,101,0.8712871287128713,11.64,11.524752475247526,1.1477272727272727
odd_fav,1.85-1.90,1.8500000000000005,1.9000000000000006,100,0.87,11.360000000000003,11.360000000000003,1.1494252873563218
odd_2,2.15-2.20,2.150000000000001,2.200000000000001,46,0.8695652173913043,5.200000000000001,11.304347826086959,1.1500000000000001
odd_x,3.85-3.90,3.849999999999995,3.899999999999995,53,0.8679245283018868,5.880000000000001,11.094339622641511,1.1521739130434783
odd_dog,4.40-4.45,4.399999999999995,4.449999999999995,30,0.8666666666666667,3.280000000000001,10.933333333333337,1.1538461538461537
odd_1,1.70-1.75,1.7000000000000004,1.7500000000000004,89,0.8651685393258427,9.560000000000002,10.741573033707867,1.155844155844156
odd_2,1.95-2.00,1.9500000000000006,2.000000000000001,37,0.8648648648648649,3.960000000000001,10.702702702702705,1.15625
odd_fav,1.70-1.75,1.7000000000000004,1.7500000000000004,109,0.8623853211009175,11.320000000000004,10.385321100917434,1.1595744680851063
odd_2,2.05-2.10,2.0500000000000007,2.1000000000000005,36,0.8611111111111112,3.6800000000000015,10.222222222222227,1.161290322580645
odd_dog,3.70-3.75,3.6999999999999975,3.7499999999999973,79,0.8607594936708861,8.040000000000003,10.177215189873422,1.1617647058823528
odd_dog,3.15-3.20,3.1499999999999995,3.1999999999999993,70,0.8571428571428571,6.800000000000001,9.714285714285715,1.1666666666666667
odd_2,3.65-3.70,3.650000000000002,3.700000000000002,35,0.8571428571428571,3.4000000000000004,9.714285714285715,1.1666666666666667
odd_2,2.10-2.15,2.1000000000000005,2.150000000000001,35,0.8571428571428571,3.4000000000000004,9.714285714285715,1.1666666666666667
spread_fav_dog,1.30-1.35,1.3000000000000003,1.3500000000000003,69,0.855072463768116,6.520000000000003,9.449275362318845,1.1694915254237288
odd_1,1.75-1.80,1.7500000000000004,1.8000000000000005,82,0.8536585365853658,7.600000000000001,9.26829268292683,1.1714285714285715
odd_2,3.15-3.20,3.1500000000000017,3.200000000000002,41,0.8536585365853658,3.8000000000000007,9.26829268292683,1.1714285714285715
odd_2,3.60-3.65,3.6000000000000023,3.650000000000002,34,0.8529411764705882,3.120000000000001,9.176470588235297,1.1724137931034484
odd_1,1.85-1.90,1.8500000000000005,1.9000000000000006,80,0.85,7.040000000000003,8.800000000000004,1.1764705882352942
odd_fav,1.40-1.45,1.4000000000000001,1.4500000000000002,38,0.8421052631578947,2.960000000000001,7.789473684210528,1.1875
odd_x,3.10-3.15,3.099999999999998,3.1499999999999977,76,0.8421052631578947,5.920000000000002,7.789473684210528,1.1875
spread_fav_dog,1.60-1.65,1.6000000000000005,1.6500000000000006,44,0.8409090909090909,3.360000000000001,7.636363636363639,1.1891891891891893
odd_x,3.95-4.00,3.949999999999995,3.9999999999999947,37,0.8378378378378378,2.6800000000000015,7.243243243243247,1.1935483870967742
odd_x,3.65-3.70,3.649999999999996,3.6999999999999957,129,0.8372093023255814,9.240000000000002,7.162790697674421,1.1944444444444444
spread_fav_dog,1.45-1.50,1.4500000000000004,1.5000000000000004,61,0.8360655737704918,4.280000000000001,7.016393442622952,1.196078431372549
odd_2,2.60-2.65,2.6000000000000014,2.6500000000000012,59,0.8305084745762712,3.7200000000000006,6.305084745762713,1.2040816326530612
spread_fav_dog,1.10-1.15,1.1,1.1500000000000001,106,0.8301886792452831,6.640000000000001,6.264150943396227,1.2045454545454546
odd_x,3.15-3.20,3.1499999999999977,3.1999999999999975,76,0.8289473684210527,4.640000000000001,6.105263157894738,1.2063492063492063
odd_1,1.40-1.45,1.4000000000000001,1.4500000000000002,35,0.8285714285714286,2.120000000000001,6.0571428571428605,1.206896551724138
odd_2,3.10-3.15,3.1000000000000014,3.1500000000000017,35,0.8285714285714286,2.120000000000001,6.0571428571428605,1.206896551724138
odd_2,3.85-3.90,3.8500000000000023,3.900000000000002,35,0.8285714285714286,2.120000000000001,6.0571428571428605,1.206896551724138
odd_2,2.35-2.40,2.350000000000001,2.4000000000000012,69,0.8260869565217391,3.960000000000001,5.73913043478261,1.2105263157894737
odd_1,1.45-1.50,1.4500000000000002,1.5000000000000002,63,0.8253968253968254,3.5600000000000023,5.650793650793654,1.2115384615384617
odd_dog,3.10-3.15,3.0999999999999996,3.1499999999999995,63,0.8253968253968254,3.5600000000000023,5.650793650793654,1.2115384615384617
odd_1,1.60-1.65,1.6000000000000003,1.6500000000000004,97,0.8247422680412371,5.400000000000002,5.567010309278353,1.2125000000000001
odd_fav,1.45-1.50,1.4500000000000002,1.5000000000000002,68,0.8235294117647058,3.6800000000000015,5.411764705882355,1.2142857142857144
odd_2,2.25-2.30,2.250000000000001,2.3000000000000007,45,0.8222222222222222,2.360000000000001,5.244444444444447,1.2162162162162162
odd_2,2.95-3.00,2.9500000000000015,3.0000000000000018,72,0.8194444444444444,3.520000000000003,4.888888888888894,1.2203389830508475
odd_1,2.70-2.75,2.700000000000001,2.7500000000000013,55,0.8181818181818182,2.6000000000000014,4.72727272727273,1.222222222222222
odd_2,3.95-4.00,3.950000000000003,4.000000000000003,33,0.8181818181818182,1.5600000000000005,4.727272727272728,1.222222222222222
spread_fav_dog,1.55-1.60,1.5500000000000005,1.6000000000000005,71,0.8169014084507042,3.240000000000002,4.563380281690144,1.2241379310344827
odd_dog,3.90-3.95,3.899999999999997,3.9499999999999966,49,0.8163265306122449,2.200000000000001,4.489795918367349,1.2249999999999999
odd_fav,2.35-2.40,2.350000000000001,2.4000000000000012,168,0.8154761904761905,7.3600000000000065,4.380952380952385,1.2262773722627738
spread_fav_dog,1.40-1.45,1.4000000000000004,1.4500000000000004,65,0.8153846153846154,2.8400000000000016,4.3692307692307715,1.2264150943396226
odd_dog,4.30-4.35,4.299999999999995,4.349999999999995,32,0.8125,1.2800000000000011,4.0000000000000036,1.2307692307692308
odd_fav,2.10-2.15,2.1000000000000005,2.150000000000001,122,0.8114754098360656,4.720000000000002,3.8688524590163955,1.2323232323232323
odd_1,2.95-3.00,2.9500000000000015,3.0000000000000018,37,0.8108108108108109,1.4000000000000004,3.7837837837837847,1.2333333333333332
